ROWID	_NameID|INTEGER	_DescriptionID|INTEGER	_NameIDParam|TEXT	_DescriptionIDParam|TEXT	_NeedGold|INTEGER	_NeedGuildLevel|INTEGER	_Type|INTEGER	_TypeParam1|INTEGER	_TypeParam2|INTEGER	_Period|INTEGER	_GuildMasterLimit|BOOLEAN	_IsApplicable|BOOLEAN	_PrerequisiteType|INTEGER	_PrerequisiteID|INTEGER	_NeedJobClass|INTEGER	_TooltipItemID|INTEGER	_CheckInven|BOOLEAN	_NeedClearMissionID|INTEGER	_MainCategory|INTEGER	_SubCategoryID|TEXT	_NeedGuildPoint|INTEGER	_RewardLevel|INTEGER	_ListID|INTEGER
80007	1000004083	1000092094	{1000039261},{1000075080}	6,6,6,6,6,2,3,4.00,5,6.00,2,7,10.00,2,{1000039261},{1000075080}	30000	7	1	536875282	0	30	false	true	0	0	8	536875282	true	0	0	3373/140039	0	0	14
80008	1000004083	1000091272	{1000039261},{1000039264}	5,5	310000	13	1	536875286	0	30	false	true	2	0	8	536875286	true	0	0	3373/140039	0	0	15
90001	1000004083	1000092094	{1000039261},{1000088607}	6,6,6,6,6,2,3,4.00,5,6.00,2,7,10.00,2,{1000039261},{1000088607}	210000	12	1	536875944	0	30	false	true	0	0	9	536875944	true	0	0	3373/140039	0	0	0
90002	1000004083	1000092094	{1000039261},{1000088608}	6,6,6,6,6,2,3,4.00,5,6.00,2,7,10.00,2,{1000039261},{1000088608}	140000	11	1	536875945	0	30	false	true	0	0	9	536875945	true	0	0	3373/140039	0	0	1
90003	1000004083	1000092094	{1000039261},{1000091163}	6,6,6,6,6,2,3,4.00,5,6.00,2,7,10.00,2,{1000039261},{1000091163}	100000	11	1	536875939	0	30	false	true	0	0	9	536875939	true	0	0	3373/140039	0	0	10
90004	1000004083	1000092094	{1000039261},{1000091164}	6,6,6,6,6,2,3,4.00,5,6.00,2,7,10.00,2,{1000039261},{1000091164}	70000	10	1	536875940	0	30	false	true	0	0	9	536875940	true	0	0	3373/140039	0	0	11
90005	1000004083	1000092094	{1000039261},{1000091165}	6,6,6,6,6,2,3,4.00,5,6.00,2,7,10.00,2,{1000039261},{1000091165}	70000	8	1	536875941	0	30	false	true	0	0	9	536875941	true	0	0	3373/140039	0	0	12
90006	1000004083	1000092094	{1000039261},{1000091166}	6,6,6,6,6,2,3,4.00,5,6.00,2,7,10.00,2,{1000039261},{1000091166}	30000	5	1	536875942	0	30	false	true	0	0	9	536875942	true	0	0	3373/140039	0	0	13
90007	1000004083	1000092094	{1000039261},{1000091167}	6,6,6,6,6,2,3,4.00,5,6.00,2,7,10.00,2,{1000039261},{1000091167}	30000	7	1	536875943	0	30	false	true	0	0	9	536875943	true	0	0	3373/140039	0	0	14
90008	1000004083	1000091272	{1000039261},{1000039264}	5,5	310000	13	1	536875947	0	30	false	true	2	0	9	536875947	true	0	0	3373/140039	0	0	15
100001	1000039265	1000039915			1050000	13	1	536871199	0	30	false	true	0	0	0	536871199	true	0	0	3373/140037	0	0	0
100002	1000039266	1000039916			770000	12	1	536871200	0	30	false	true	0	0	0	536871200	true	0	0	3373/140037	0	0	1
100003	1000004083	1000103061	{1000102743},{1000056921}	{1000019991}	1000000	3	1	268466303	0	0	false	true	0	0	0	268466303	false	0	0	3373/140116	0	0	0
200001	1000039623	1000039917	1	{1000039617}	190000	2	1	536871201	0	0	false	true	0	0	0	536871201	true	0	0	3373/140037	0	0	10
200002	1000039623	1000039917	2	{1000039618}	780000	6	1	536871202	0	0	false	true	0	0	0	536871202	true	0	0	3373/140037	0	0	11
200003	1000039623	1000039917	3	{1000039619}	1560000	12	1	536871203	0	0	false	true	0	0	0	536871203	true	0	0	3373/140037	0	0	12
200004	1000039623	1000039917	4	{1000039620}	2140000	13	1	536871204	0	0	false	true	0	0	0	536871204	true	0	0	3373/140037	0	0	13
200005	1000039623	1000039917	5	{1000039621}	2730000	20	1	536871205	0	0	false	true	0	0	0	536871205	true	0	0	3373/140037	0	0	14
300001	1000039944	1000039966	{118220}	{118220}	850000	8	1	536871409	25	0	false	true	0	0	0	536871409	true	0	0	3373/140037	0	0	20
300002	1000039944	1000039966	{118235}	{118235}	850000	13	1	536872104	27	0	false	true	0	0	0	536872104	true	0	0	3373/140037	0	0	21
500001	1000004083	1000069038	{1000039261},{2232}		2730000	8	18	536873866	0	30	false	true	0	0	0	536873866	true	2	0	3373/140038	0	0	0
500002	1000004083	1000069039	{1000039261},{1000069032}		2730000	8	18	536873867	0	30	false	true	0	0	0	536873867	true	1	0	3373/140038	0	0	1
500003	1000069036	1000069040		{1000069025}	0	3	19	536873868	0	30	true	true	0	0	0	536873868	true	5	0	3373/140038	0	0	10
500004	1000069036	1000069040		{1000069026}	0	3	19	536873869	0	30	true	true	0	0	0	536873869	true	6	0	3373/140038	0	0	11
500005	1000069037	1000069042		{1000069041}	0	5	20	536873870	0	30	true	true	0	0	0	536873870	true	3	0	3373/140038	0	0	20
500006	1000069037	1000069042		{1000069043}	0	5	20	536873871	0	30	true	true	0	0	0	536873871	true	4	0	3373/140038	0	0	21
500007	1000004083	1000069038	{1000001975},{2232}		2730000	8	18	536875287	0	30	false	true	0	0	0	536875287	true	8	0	3373/140038	0	0	2
500008	1000004083	1000069039	{1000001975},{1000069032}		2730000	8	18	536875304	0	30	false	true	0	0	0	536875304	true	7	0	3373/140038	0	0	3
500009	1000069036	1000069040		{344}	0	3	19	536875305	0	30	true	true	0	0	0	536875305	true	11	0	3373/140038	0	0	12
500010	1000069036	1000069040		{1000078466}	0	3	19	536875288	0	30	true	true	0	0	0	536875288	true	12	0	3373/140038	0	0	13
500011	1000069037	1000069042		{1000079002}	0	5	20	536875290	0	30	true	true	0	0	0	536875290	true	9	0	3373/140038	0	0	22
500012	1000069037	1000069042		{1000079003}	0	5	20	536875291	0	30	true	true	0	0	0	536875291	true	10	0	3373/140038	0	0	23
500013	1000004083	1000069038	{1000129418},{2232}		2730000	8	18	1073904608	0	30	false	true	0	0	0	1073904608	true	14	0	3373/140038	0	0	4
500014	1000004083	1000069039	{1000129418},{1000069032}		2730000	8	18	1073903998	0	30	false	true	0	0	0	1073903998	true	13	0	3373/140038	0	0	5
500015	1000069036	1000069040		{1000129021}	0	3	19	536878171	0	30	true	true	0	0	0	536878171	true	17	0	3373/140038	0	0	14
500016	1000069036	1000069040		{1000129022}	0	3	19	536878172	0	30	true	true	0	0	0	536878172	true	18	0	3373/140038	0	0	15
500017	1000069037	1000069042		{1000129432}	0	5	20	536878173	0	30	true	true	0	0	0	536878173	true	15	0	3373/140038	0	0	24
500018	1000069037	1000069042		{1000129433}	0	5	20	536878174	0	30	true	true	0	0	0	536878174	true	16	0	3373/140038	0	0	25
500019	1000004083	1000069038	{1000016825},{2232}		2730000	8	18	1073904609	0	30	false	true	0	0	0	1073904609	true	20	0	3373/140038	0	0	6
500020	1000004083	1000069039	{1000016825},{1000069032}		2730000	8	18	1073903999	0	30	false	true	0	0	0	1073903999	true	19	0	3373/140038	0	0	7
500021	1000069036	1000069040		{1000129024}	0	3	19	536878175	0	30	true	true	0	0	0	536878175	true	23	0	3373/140038	0	0	16
500022	1000069036	1000069040		{1000129847}	0	3	19	536878176	0	30	true	true	0	0	0	536878176	true	24	0	3373/140038	0	0	17
500023	1000069037	1000069042		{1000129434}	0	5	20	536878177	0	30	true	true	0	0	0	536878177	true	21	0	3373/140038	0	0	26
500024	1000069037	1000069042		{1000129435}	0	5	20	536878178	0	30	true	true	0	0	0	536878178	true	22	0	3373/140038	0	0	27
500025	1000166882	1000166933	{1000000148}		0	1	20	536881439	0	14	false	false	0	0	0	536881439	true	0	0	3373/140038	0	0	30
500026	1000166882	1000166934	{1000006770}		0	1	20	536881440	0	14	false	false	0	0	0	536881440	true	0	0	3373/140038	0	0	31
500027	1000166882	1000166935	{1000165033}		0	1	20	536881441	0	14	false	false	0	0	0	536881441	true	0	0	3373/140038	0	0	32
