ROWID	_MapSubType|INTEGER	_Difficulty|INTEGER	_ExDifficultyType|INTEGER	_DeadExperienceWeight|DOUBLE	_CompleteExperienceWeight|DOUBLE	_DeadDurabilityWeight|DOUBLE	_HPWeight|DOUBLE	_AttackPMinWeight|DOUBLE	_AttackPMaxWeight|DOUBLE	_AttackMMinWeight|DOUBLE	_AttackMMaxWeight|DOUBLE	_DefensePWeight|DOUBLE	_DefenseMWeight|DOUBLE	_StiffWeight|DOUBLE	_CriticalWeight|DOUBLE	_StunWeight|DOUBLE	_StiffResistanceWeight|DOUBLE	_CriticalResistanceWeight|DOUBLE	_StunResistanceWeight|DOUBLE	_SuperAmmorWeight|DOUBLE	_Element_Str_Weight|DOUBLE	_Fire_Def_Weight|DOUBLE	_Ice_Def_Weight|DOUBLE	_Light_Def_Weight|DOUBLE	_Dark_Def_Weight|DOUBLE	_MoveSpeedWeight|DOUBLE	_DownDelayWeight|DOUBLE	_DurabilityWeight|DOUBLE	_GoldDropWeight|DOUBLE	_HeroExpWeight|DOUBLE	_PenaltyOption1|INTEGER	_PenaltyOption1Param|TEXT	_PenaltyOption2|INTEGER	_PenaltyOption2Param|TEXT	_PenaltyOption3|INTEGER	_PenaltyOption3Param|TEXT	_PenaltyOption4|INTEGER	_PenaltyOption4Param|TEXT	_PenaltyOption5|INTEGER	_PenaltyOption5Param|TEXT	_PenaltyOption6|INTEGER	_PenaltyOption6Param|TEXT	_PenaltyOption7|INTEGER	_PenaltyOption7Param|TEXT	_PenaltyOption8|INTEGER	_PenaltyOption8Param|TEXT	_PenaltyOption9|INTEGER	_PenaltyOption9Param|TEXT	_PenaltyOption10|INTEGER	_PenaltyOption10Param|TEXT
78	1	4	73	0.0	25.61625	1.0	9.504673E18	3.08645036E11	3.08645036E11	3.08645036E11	3.08645036E11	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	548.197	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
79	1	4	74	0.0	25.61625	1.0	1.7897299E19	4.53399544E11	4.53399544E11	4.53399544E11	4.53399544E11	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	548.197	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
80	1	4	75	0.0	25.61625	1.0	3.3700614E19	6.6604394E11	6.6604394E11	6.6604394E11	6.6604394E11	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	548.197	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
81	1	4	76	0.0	25.61625	1.0	6.3458256E19	9.7841853E11	9.7841853E11	9.7841853E11	9.7841853E11	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	548.197	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
82	1	4	77	0.0	25.61625	1.0	1.194919E20	1.43729689E12	1.43729689E12	1.43729689E12	1.43729689E12	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	548.197	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
83	1	4	78	0.0	25.61625	1.0	2.2500325E20	2.11138904E12	2.11138904E12	2.11138904E12	2.11138904E12	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	548.197	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
84	1	4	79	0.0	25.61625	1.0	4.2368113E20	3.10163066E12	3.10163066E12	3.10163066E12	3.10163066E12	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	548.197	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
85	1	4	80	0.0	25.61625	1.0	7.9779156E20	4.5562955E12	4.5562955E12	4.5562955E12	4.5562955E12	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	548.197	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
86	1	4	81	0.0	25.61625	1.0	1.5022415E21	6.693198E12	6.693198E12	6.693198E12	6.693198E12	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	548.197	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
87	1	4	82	0.0	25.61625	1.0	2.8287208E21	9.8323074E12	9.8323074E12	9.8323074E12	9.8323074E12	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	548.197	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
88	1	4	83	0.0	25.61625	1.0	5.326481E21	1.44436594E13	1.44436594E13	1.44436594E13	1.44436594E13	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	548.197	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
89	1	4	84	0.0	25.61625	1.0	1.0029764E22	2.12177361E13	2.12177361E13	2.12177361E13	2.12177361E13	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	548.197	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
90	1	4	85	0.0	25.61625	1.0	1.8886045E22	3.11688545E13	3.11688545E13	3.11688545E13	3.11688545E13	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	548.197	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
91	1	4	86	0.0	25.61625	1.0	3.5562422E22	4.5787048E13	4.5787048E13	4.5787048E13	4.5787048E13	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	548.197	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
92	1	4	87	0.0	25.61625	1.0	6.696404E22	6.7261172E13	6.7261172E13	6.7261172E13	6.7261172E13	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	548.197	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
93	1	4	88	0.0	25.61625	1.0	1.260933E23	9.8806662E13	9.8806662E13	9.8806662E13	9.8806662E13	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	548.197	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
94	1	4	89	0.0	25.61625	1.0	2.3743366E23	1.45146994E14	1.45146994E14	1.45146994E14	1.45146994E14	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	548.197	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
95	1	4	90	0.0	25.61625	1.0	4.470876E23	2.13220917E14	2.13220917E14	2.13220917E14	2.13220917E14	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	548.197	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
96	1	4	91	0.0	25.61625	1.0	8.4186595E23	3.13221529E14	3.13221529E14	3.13221529E14	3.13221529E14	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	548.197	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
97	1	4	92	0.0	25.61625	1.0	1.5852336E24	4.6012243E14	4.6012243E14	4.6012243E14	4.6012243E14	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	548.197	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
98	1	4	93	0.0	25.61625	1.0	2.9849948E24	6.7591987E14	6.7591987E14	6.7591987E14	6.7591987E14	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	548.197	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
99	1	4	94	0.0	25.61625	1.0	5.6207454E24	9.9292631E14	9.9292631E14	9.9292631E14	9.9292631E14	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	548.197	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
100	1	4	95	0.0	25.61625	1.0	1.0583863E25	1.45860874E15	1.45860874E15	1.45860874E15	1.45860874E15	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	548.197	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
101	1	4	96	0.0	25.61625	1.0	1.9929415E25	2.14269624E15	2.14269624E15	2.14269624E15	2.14269624E15	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	548.197	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
102	1	4	97	0.0	25.61625	1.0	3.7527088E25	3.14762074E15	3.14762074E15	3.14762074E15	3.14762074E15	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	548.197	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
103	1	4	98	0.0	25.61625	1.0	7.0663504E25	4.623855E15	4.623855E15	4.623855E15	4.623855E15	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	548.197	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
104	1	4	99	0.0	25.61625	1.0	1.3305938E26	6.7924425E15	6.7924425E15	6.7924425E15	6.7924425E15	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	548.197	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
105	1	4	100	0.0	25.61625	1.0	2.5055082E26	9.9780981E15	9.9780981E15	9.9780981E15	9.9780981E15	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	548.197	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
106	0	1	0	1.0	1.0	1.0	0.3	0.1	0.1	0.1	0.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
107	0	1	1	1.2	1.2	1.0	0.7	0.2	0.2	0.2	0.2	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.657	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
108	0	1	2	1.4	1.4	1.0	1.2	0.3	0.3	0.3	0.3	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.8666667	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
109	0	1	3	1.6	1.6	1.0	2.4	0.5	0.5	0.5	0.5	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	2.0766666	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
110	0	1	4	1.8	1.8	1.0	4.8	0.8	0.8	0.8	0.8	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	2.2863333	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
111	0	1	5	2.0	2.0	1.0	22.5225	0.8837754	0.8837754	0.8837754	0.8837754	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	2.4962964	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
112	0	1	6	2.2	2.2	1.0	37.37662	1.2023695	1.2023695	1.2023695	1.2023695	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	3.0611215	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
113	0	1	7	2.4	2.4	1.0	70.401085	1.7666728	1.7666728	1.7666728	1.7666728	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	3.9443572	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
114	0	1	8	2.6	2.6	1.0	132.60461	2.595819	2.595819	2.595819	2.595819	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	5.0912004	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
115	0	1	9	2.8	2.8	1.0	249.76868	3.5598402	3.5598402	3.5598402	3.5598402	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	6.597076	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
116	0	1	10	3.0	3.0	1.0	470.4541	4.8569593	4.8569593	4.8569593	4.8569593	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	8.590961	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
117	0	1	11	3.2	3.2	1.0	886.12823	6.587506	6.587506	6.587506	6.587506	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	11.246944	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
118	0	1	12	3.4	3.4	1.0	1669.0752	8.872607	8.872607	8.872607	8.872607	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	14.799685	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
119	0	1	13	3.6	3.6	1.0	3143.802	13.025482	13.025482	13.025482	13.025482	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	19.565105	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
120	0	1	14	3.8	3.8	1.0	5921.5376	19.045832	19.045832	19.045832	19.045832	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	25.968044	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
121	0	1	15	4.0	4.0	1.0	11153.567	27.292519	27.292519	27.292519	27.292519	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	34.579205	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
122	0	1	16	4.2	4.2	1.0	21002.168	40.092	40.092	40.092	40.092	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	43.303955	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
123	0	1	17	4.4	4.4	1.0	39547.082	58.895	58.895	58.895	58.895	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	54.439194	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
124	0	1	18	4.6	4.6	1.0	74467.16	86.516	86.516	86.516	86.516	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	68.650894	12	-100000	103	-450000	8	-30000	9	-30000	29	-1200	-1		-1		-1		-1		-1	
125	0	1	19	4.8	4.8	1.0	140221.66	127.092	127.092	127.092	127.092	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	86.78903	12	-200000	103	-900000	8	-60000	9	-60000	29	-2400	-1		-1		-1		-1		-1	
126	0	1	20	5.0	5.0	1.0	264037.38	186.698	186.698	186.698	186.698	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	109.93839	12	-300000	103	-1350000	8	-90000	9	-90000	29	-3600	-1		-1		-1		-1		-1	
127	0	1	21	5.2	5.2	1.0	497182.38	274.259	274.259	274.259	274.259	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	139.4835	12	-400000	103	-1800000	8	-120000	9	-120000	29	-4800	-1		-1		-1		-1		-1	
128	0	1	22	5.4	5.4	1.0	936194.4	402.886	402.886	402.886	402.886	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	177.19138	12	-500000	103	-2250000	8	-150000	9	-150000	29	-6000	-1		-1		-1		-1		-1	
129	0	1	23	5.6	5.6	1.0	1762854.0	591.839	591.839	591.839	591.839	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	225.31723	12	-600000	103	-2700000	8	-180000	9	-180000	29	-7200	-1		-1		-1		-1		-1	
130	0	1	24	5.8	5.8	1.0	3319454.2	869.411	869.411	869.411	869.411	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	286.73938	12	-700000	103	-3150000	8	-210000	9	-210000	29	-8400	-1		-1		-1		-1		-1	
131	0	1	25	6.0	6.0	1.0	6250532.0	1277.164	1277.164	1277.164	1277.164	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	365.13135	12	-800000	103	-3600000	8	-240000	9	-240000	29	-9600	-1		-1		-1		-1		-1	
132	0	1	26	6.2	6.2	1.0	1.1769752E7	1876.153	1876.153	1876.153	1876.153	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	365.13135	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
133	0	1	27	6.4	6.4	1.0	2.2162444E7	2756.068	2756.068	2756.068	2756.068	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	365.13135	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
134	0	1	28	6.6	6.6	1.0	4.173188E7	4048.663	4048.663	4048.663	4048.663	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	365.13135	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
135	0	1	29	6.8	6.8	1.0	7.8581128E7	5947.485	5947.485	5947.485	5947.485	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	365.13135	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
136	0	1	30	7.0	7.0	1.0	1.47968272E8	8736.855	8736.855	8736.855	8736.855	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	365.13135	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
137	0	1	31	7.2	7.2	1.0	2.78624256E8	12834.439	12834.439	12834.439	12834.439	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	365.13135	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
138	0	1	32	7.4	7.4	1.0	5.24649472E8	18853.79	18853.79	18853.79	18853.79	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	365.13135	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
139	0	1	33	7.6	7.6	1.0	9.8791494E8	27696.217	27696.217	27696.217	27696.217	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	365.13135	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
140	0	1	34	7.8	7.8	1.0	1.86024384E9	40685.742	40685.742	40685.742	40685.742	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	365.13135	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
141	0	1	35	8.0	8.0	1.0	3.5028393E9	59767.355	59767.355	59767.355	59767.355	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	365.13135	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
142	0	1	36	8.2	8.2	1.0	6.5958461E9	87798.24	87798.24	87798.24	87798.24	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	365.13135	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
143	0	1	37	8.4	8.4	1.0	1.24199782E10	128975.62	128975.62	128975.62	128975.62	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	365.13135	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
144	0	1	38	8.6	8.6	1.0	2.33868186E10	189465.19	189465.19	189465.19	189465.19	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	365.13135	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
145	0	1	39	8.8	8.8	1.0	4.4037382E10	278324.34	278324.34	278324.34	278324.34	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	365.13135	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
146	0	1	40	9.0	9.0	1.0	8.292239E10	408858.47	408858.47	408858.47	408858.47	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	365.13135	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
147	0	1	41	9.2	9.2	1.0	1.56142862E11	600613.1	600613.1	600613.1	600613.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	365.13135	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
148	0	1	42	9.4	9.4	1.0	2.94017008E11	882300.6	882300.6	882300.6	882300.6	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	365.13135	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
149	0	1	43	9.6	9.6	1.0	5.5363404E11	1296099.6	1296099.6	1296099.6	1296099.6	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	365.13135	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
150	0	1	44	9.8	9.8	1.0	1.04249282E12	1903970.4	1903970.4	1903970.4	1903970.4	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	365.13135	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
151	0	1	45	10.0	10.0	1.0	1.96301396E12	2796932.5	2796932.5	2796932.5	2796932.5	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	365.13135	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
152	0	1	46	10.2	10.2	1.0	3.69635544E12	4108693.8	4108693.8	4108693.8	4108693.8	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	365.13135	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
153	0	1	47	10.4	10.4	1.0	6.9602372E12	6035671.0	6035671.0	6035671.0	6035671.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	365.13135	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
154	0	1	48	10.6	10.6	1.0	1.31061263E13	8866401.0	8866401.0	8866401.0	8866401.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	365.13135	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
155	0	1	49	10.8	10.8	1.0	2.46788359E13	1.3024743E7	1.3024743E7	1.3024743E7	1.3024743E7	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	365.13135	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
156	0	1	50	11.0	11.0	1.0	4.647025E13	1.9133348E7	1.9133348E7	1.9133348E7	1.9133348E7	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	365.13135	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
157	0	1	51	11.2	11.2	1.0	8.7503483E13	2.8106888E7	2.8106888E7	2.8106888E7	2.8106888E7	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	365.13135	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
158	0	1	52	11.4	11.4	1.0	1.64769055E14	4.1289016E7	4.1289016E7	4.1289016E7	4.1289016E7	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	365.13135	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
