ROWID	_Envi1_1|INTEGER	_Envi1_2|INTEGER	_Envi1_3|INTEGER	_Envi1_4|INTEGER	_Envi1_5|INTEGER	_Envi2_1|INTEGER	_Envi2_2|INTEGER	_Envi2_3|INTEGER	_Envi2_4|INTEGER	_Envi2_5|INTEGER	_Envi3_1|INTEGER	_Envi3_2|INTEGER	_Envi3_3|INTEGER	_Envi3_4|INTEGER	_Envi3_5|INTEGER	_Envi4_1|INTEGER	_Envi4_2|INTEGER	_Envi4_3|INTEGER	_Envi4_4|INTEGER	_Envi4_5|INTEGER	_Envi5_1|INTEGER	_Envi5_2|INTEGER	_Envi5_3|INTEGER	_Envi5_4|INTEGER	_Envi5_5|INTEGER	_Envi6_1|INTEGER	_Envi6_2|INTEGER	_Envi6_3|INTEGER	_Envi6_4|INTEGER	_Envi6_5|INTEGER	_Envi7_1|INTEGER	_Envi7_2|INTEGER	_Envi7_3|INTEGER	_Envi7_4|INTEGER	_Envi7_5|INTEGER	_Envi8_1|INTEGER	_Envi8_2|INTEGER	_Envi8_3|INTEGER	_Envi8_4|INTEGER	_Envi8_5|INTEGER	_Envi9_1|INTEGER	_Envi9_2|INTEGER	_Envi9_3|INTEGER	_Envi9_4|INTEGER	_Envi9_5|INTEGER	_Envi10_1|INTEGER	_Envi10_2|INTEGER	_Envi10_3|INTEGER	_Envi10_4|INTEGER	_Envi10_5|INTEGER	_Envi11_1|INTEGER	_Envi11_2|INTEGER	_Envi11_3|INTEGER	_Envi11_4|INTEGER	_Envi11_5|INTEGER	_Envi12_1|INTEGER	_Envi12_2|INTEGER	_Envi12_3|INTEGER	_Envi12_4|INTEGER	_Envi12_5|INTEGER	_Envi1_Prob|FLOAT	_Envi2_Prob|FLOAT	_Envi3_Prob|FLOAT	_Envi4_Prob|FLOAT	_Envi5_Prob|FLOAT	_Envi6_Prob|FLOAT	_Envi7_Prob|FLOAT	_Envi8_Prob|FLOAT	_Envi9_Prob|FLOAT	_Envi10_Prob|FLOAT	_Envi11_Prob|FLOAT	_Envi12_Prob|FLOAT	_EnviAbyss1|INTEGER	_EnviAbyss2|INTEGER	_EnviAbyss3|INTEGER	_EnviAbyss1_Prob|FLOAT	_EnviAbyss2_Prob|FLOAT	_EnviAbyss3_Prob|FLOAT
165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0.333334	0.333333	0.333333
166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0.333334	0.333333	0.333333
167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0.333334	0.333333	0.333333
168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0.333334	0.333333	0.333333
169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0.333334	0.333333	0.333333
170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0.333334	0.333333	0.333333
171	1964	1964	1964	1964	1964	1964	1964	1964	1964	1964	1964	1964	1964	1964	1964	1964	1964	1964	1964	1964	1964	1964	1964	1964	1964	1964	1964	1964	1964	1964	1964	1964	1964	1964	1964	1964	1964	1964	1964	1964	1964	1964	1964	1964	1964	1964	1964	1964	1964	1964	1964	1964	1964	1964	1964	1964	1964	1964	1964	1964	1.0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	1884	1885	1886	0.333334	0.333333	0.333333
172	2057	2057	2057	2057	2057	2065	2065	2065	2065	2065	2062	0	0	0	0	2051	0	0	0	0	2056	2056	2056	2056	2056	2070	2070	0	0	0	1934	0	0	0	0	1959	0	0	0	0	1932	1932	1932	0	0	1934	0	0	0	0	2025	2025	2025	2025	0	2026	0	0	0	0	1.0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	1881	1882	1883	0.333334	0.333333	0.333333
173	2057	2057	2057	2057	2057	2065	2065	2065	2065	2065	2062	0	0	0	0	2051	0	0	0	0	2056	2056	2056	2056	2056	2070	2070	0	0	0	1934	0	0	0	0	1959	0	0	0	0	1932	1932	1932	0	0	1934	0	0	0	0	2025	2025	2025	2025	0	2026	0	0	0	0	1.0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	1881	1882	1883	0.333334	0.333333	0.333333
174	2057	2057	2057	2057	2057	2065	2065	2065	2065	2065	2062	0	0	0	0	2051	0	0	0	0	2056	2056	2056	2056	2056	2070	2070	0	0	0	1934	0	0	0	0	1959	0	0	0	0	1932	1932	1932	0	0	1934	0	0	0	0	2025	2025	2025	2025	0	2026	0	0	0	0	1.0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	1881	1882	1883	0.333334	0.333333	0.333333
175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0.333334	0.333333	0.333333
176	63187	0	0	0	0	63187	0	0	0	0	63187	0	0	0	0	63187	0	0	0	0	63187	0	0	0	0	63187	0	0	0	0	63187	0	0	0	0	63187	0	0	0	0	63187	0	0	0	0	63187	0	0	0	0	63187	0	0	0	0	63187	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	63187	0	0	1.0	1.0	1.0
177	58645	58645	58645	58645	58645	58645	58645	58645	58645	58645	58645	58645	58645	58645	58645	58645	58645	58645	58645	58645	58645	58645	58645	58645	58645	58645	58645	58645	58645	58645	58645	58645	58645	58645	58645	58645	58645	58645	58645	58645	58645	58645	58645	58645	58645	58645	58645	58645	58645	58645	58645	58645	58645	58645	58645	58645	58645	58645	58645	58645	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	58645	58645	58645	0.333334	0.333333	0.333333
178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0.333334	0.333333	0.333333
179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0.333334	0.333333	0.333333
180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0.333334	0.333333	0.333333
181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0.333334	0.333333	0.333333
182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0.333334	0.333333	0.333333
183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0.333334	0.333333	0.333333
184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0.333334	0.333333	0.333333
185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0.333334	0.333333	0.333333
186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0.333334	0.333333	0.333333
187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0.333334	0.333333	0.333333
188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0.333334	0.333333	0.333333
189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0.333334	0.333333	0.333333
190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0.333334	0.333333	0.333333
191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0.333334	0.333333	0.333333
192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0.333334	0.333333	0.333333
193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0.333334	0.333333	0.333333
194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0.333334	0.333333	0.333333
195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0.333334	0.333333	0.333333
196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0.333334	0.333333	0.333333
197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0.333334	0.333333	0.333333
198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0.333334	0.333333	0.333333
199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0.333334	0.333333	0.333333
200	1907	0	0	0	0	1907	0	0	0	0	1907	0	0	0	0	1907	0	0	0	0	1907	0	0	0	0	1907	0	0	0	0	1907	0	0	0	0	1907	0	0	0	0	1907	0	0	0	0	1907	0	0	0	0	1907	0	0	0	0	1907	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1907	0	0	0.333334	0.333333	0.333333
201	2055	2056	2057	2054	2058	2065	2066	2068	2070	0	2062	0	0	0	0	2051	0	0	0	0	1923	1926	1932	1924	1935	1937	1941	0	0	0	1934	0	0	0	0	1959	0	0	0	0	2024	2025	2030	0	0	2026	0	0	0	0	1991	1990	1993	0	0	2026	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1874	1875	1876	0.333334	0.333333	0.333333
202	2055	2056	2057	2054	2058	2065	2066	2068	2070	0	2062	0	0	0	0	2051	0	0	0	0	1923	1926	1932	1924	1935	1937	1941	0	0	0	1934	0	0	0	0	1959	0	0	0	0	2024	2025	2030	0	0	2026	0	0	0	0	1991	1990	1993	0	0	2026	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1874	1875	1876	0.333334	0.333333	0.333333
203	2055	2056	2057	2054	2058	2065	2066	2068	2070	0	2062	0	0	0	0	2051	0	0	0	0	1923	1926	1932	1924	1935	1937	1941	0	0	0	1934	0	0	0	0	1959	0	0	0	0	2024	2025	2030	0	0	2026	0	0	0	0	1991	1990	1993	0	0	2026	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1874	1875	1876	0.333334	0.333333	0.333333
204	2055	2056	2057	2054	2058	2065	2066	2068	2070	0	2062	0	0	0	0	2051	0	0	0	0	1923	1926	1932	1924	1935	1937	1941	0	0	0	1934	0	0	0	0	1959	0	0	0	0	2024	2025	2030	0	0	2026	0	0	0	0	1991	1990	1993	0	0	2026	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1874	1875	1876	0.333334	0.333333	0.333333
205	2055	2056	2057	2054	2058	2065	2066	2068	2070	0	2062	0	0	0	0	2051	0	0	0	0	1923	1926	1932	1924	1935	1937	1941	0	0	0	1934	0	0	0	0	1959	0	0	0	0	2024	2025	2030	0	0	2026	0	0	0	0	1991	1990	1993	0	0	2026	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1874	1875	1876	0.333334	0.333333	0.333333
206	2055	2056	2057	2054	2058	2065	2066	2068	2070	0	2062	0	0	0	0	2051	0	0	0	0	1923	1926	1932	1924	1935	1937	1941	0	0	0	1934	0	0	0	0	1959	0	0	0	0	2024	2025	2030	0	0	2026	0	0	0	0	1991	1990	1993	0	0	2026	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1874	1875	1876	0.333334	0.333333	0.333333
207	2055	2056	2057	2054	2058	2065	2066	2068	2070	0	2062	0	0	0	0	2051	0	0	0	0	1923	1926	1932	1924	1935	1937	1941	0	0	0	1934	0	0	0	0	1959	0	0	0	0	2024	2025	2030	0	0	2026	0	0	0	0	1991	1990	1993	0	0	2026	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1874	1875	1876	0.333334	0.333333	0.333333
208	2055	2056	2057	2054	2058	2065	2066	2068	2070	0	2062	0	0	0	0	2051	0	0	0	0	1923	1926	1932	1924	1935	1937	1941	0	0	0	1934	0	0	0	0	1959	0	0	0	0	2024	2025	2030	0	0	2026	0	0	0	0	1991	1990	1993	0	0	2026	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1874	1875	1876	0.333334	0.333333	0.333333
209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0.333334	0.333333	0.333333
210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0.333334	0.333333	0.333333
211	2055	2056	2057	2054	2058	2065	2066	2068	2070	0	2062	0	0	0	0	2051	0	0	0	0	1923	1926	1932	1924	1935	1937	1941	0	0	0	1934	0	0	0	0	1959	0	0	0	0	2024	2025	2030	0	0	2026	0	0	0	0	1991	1990	1993	0	0	2026	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1874	1875	1876	0.333334	0.333333	0.333333
212	2055	2056	2057	2054	2058	2065	2066	2068	2070	0	2062	0	0	0	0	2051	0	0	0	0	1923	1926	1932	1924	1935	1937	1941	0	0	0	1934	0	0	0	0	1959	0	0	0	0	2024	2025	2030	0	0	2026	0	0	0	0	1991	1990	1993	0	0	2026	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1874	1875	1876	0.333334	0.333333	0.333333
213	2055	2056	2057	2054	2058	2065	2066	2068	2070	0	2062	0	0	0	0	2051	0	0	0	0	1923	1926	1932	1924	1935	1937	1941	0	0	0	1934	0	0	0	0	1959	0	0	0	0	2024	2025	2030	0	0	2026	0	0	0	0	1991	1990	1993	0	0	2026	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1874	1875	1876	0.333334	0.333333	0.333333
214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0.333334	0.333333	0.333333
215	2055	2056	2057	2054	2058	2065	2066	2068	2070	0	2062	0	0	0	0	2051	0	0	0	0	1923	1926	1932	1924	1935	1937	1941	0	0	0	1934	0	0	0	0	1959	0	0	0	0	2024	2025	2030	0	0	2026	0	0	0	0	1991	1990	1993	0	0	2026	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1874	1875	1876	0.333334	0.333333	0.333333
216	2055	2056	2057	2054	2058	2065	2066	2068	2070	0	2062	0	0	0	0	2051	0	0	0	0	1923	1926	1932	1924	1935	1937	1941	0	0	0	1934	0	0	0	0	1959	0	0	0	0	2024	2025	2030	0	0	2026	0	0	0	0	1991	1990	1993	0	0	2026	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1874	1875	1876	0.333334	0.333333	0.333333
217	2017	0	0	0	0	2017	0	0	0	0	2017	0	0	0	0	2017	0	0	0	0	2017	0	0	0	0	2017	0	0	0	0	2019	0	0	0	0	2019	0	0	0	0	2019	0	0	0	0	2019	0	0	0	0	2019	0	0	0	0	2019	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1874	1875	1876	0.333334	0.333333	0.333333
218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0.333334	0.333333	0.333333
219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0.333334	0.333333	0.333333
220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0.333334	0.333333	0.333333
221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0.333334	0.333333	0.333333
222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0.333334	0.333333	0.333333
223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0.333334	0.333333	0.333333
224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0.333334	0.333333	0.333333
225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0.333334	0.333333	0.333333
226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0.333334	0.333333	0.333333
227	37925	0	0	0	0	37925	0	0	0	0	37925	0	0	0	0	37925	0	0	0	0	37925	0	0	0	0	37925	0	0	0	0	37925	0	0	0	0	37925	0	0	0	0	37925	0	0	0	0	37925	0	0	0	0	37925	0	0	0	0	37925	0	0	0	0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37925	37925	37925	0.333334	0.333333	0.333333
