ROWID	_NeedJob|INTEGER	_IconIndex|INTEGER	_ConditionType1|INTEGER	_ConditionType2|INTEGER	_ConditionType3|INTEGER	_ConditionType4|INTEGER	_ConditionType5|INTEGER	_ConditionFactor1|TEXT	_ConditionFactor2|TEXT	_ConditionFactor3|TEXT	_ConditionFactor4|TEXT	_ConditionFactor5|TEXT	_BubbleType1|INTEGER	_BubbleType2|INTEGER	_BubbleType3|INTEGER	_BubbleType4|INTEGER	_BubbleType5|INTEGER	_BubbleFactor1|TEXT	_BubbleFactor2|TEXT	_BubbleFactor3|TEXT	_BubbleFactor4|TEXT	_BubbleFactor5|TEXT	_ContentsID|TEXT
342	31	133	1	0	0	0	0	1541					2	0	0	0	0	237;50					
343	31	133	1	0	0	0	0	1515					2	0	0	0	0	237;30					
344	31	133	1	0	0	0	0	1576					2	0	0	0	0	237;30					
345	31	133	5	15	0	0	0	1534	237				5	0	0	0	0	237;100;1577;0					
346	31	133	5	13	0	0	0	1571	1579/-1				1	0	0	0	0	237;60000;1					
347	31	133	19	15	0	0	0	1578;0	237				1	0	0	0	0	237;60000;8					
348	31	133	1	3	0	0	0	1013;1035;1501	237;30				5	0	0	0	0	237;0;1588;0					
349	31	133	1	3	0	0	0	1013;1035;1501	237;50				5	0	0	0	0	237;0;1589;0					
353	31	133	5	13	0	0	0	1512	1411				1	0	0	0	0	237;60000;2					
370	32	133	5	15	0	0	0	1518	239				1	0	0	0	0	239;60000;4					
371	32	133	1	0	0	0	0	1517					2	0	0	0	0	239;50					
372	32	133	1	0	0	0	0	1574					2	0	0	0	0	239;50					
373	32	133	1	0	0	0	0	1580					2	0	0	0	0	239;50					
374	32	133	1	0	0	0	0	1581					2	0	0	0	0	239;50					
375	32	133	1	0	0	0	0	1582					2	0	0	0	0	239;50					
376	32	133	13	0	0	0	0	1538/-1					1	0	0	0	0	239;60000;3					
377	32	133	5	15	0	0	0	1539	239				5	0	0	0	0	239;100;1583;0					
378	32	133	5	19	15	0	0	1540	1551;0	239			1	0	0	0	0	239;60000;4					
379	32	133	1	3	0	0	0	1404;1408	239;50				5	0	0	0	0	239;0;1590;0					
350	32	209	5	13	11	0	0	1539	1537;1517;1574;1581;1582;1553;1554;1555;1556;1558;1560;1403;1407;1409	0.2			1	0	0	0	0	375;3000;1					
351	32	209	5	1	0	0	0	1539	1408				2	0	0	0	0	375;1					
352	32	133	5	13	0	0	0	1539	1408/-1				1	0	0	0	0	239;60000;3					
380	82	147	13	0	0	0	0	54					1	0	0	0	0	242;180000					
381	82	147	13	0	0	0	0	55					1	0	0	0	0	242;180000					
382	82	147	19	20	0	0	0	3802;0	100				1	0	0	0	0	242;180000					
383	82	147	19	20	0	0	0	3819;0	100				1	0	0	0	0	242;180000					
384	82	147	13	0	0	0	0	56					1	0	0	0	0	242;180000					
385	82	147	13	0	0	0	0	57					1	0	0	0	0	242;180000					
386	82	147	1	0	0	0	0	3804					2	0	0	0	0	242;30					
387	82	147	1	0	0	0	0	3826					2	0	0	0	0	242;30					
388	82	147	1	0	0	0	0	3808					1	1	1	1	1	242;180000	242;180000	242;180000	242;180000	242;180000	
389	82	147	1	0	0	0	0	3808					1	1	1	1	1	242;180000	242;180000	242;180000	242;180000	242;180000	
390	82	147	1	0	0	0	0	3808					1	1	1	1	1	242;180000	242;180000	242;180000	242;180000	242;180000	
391	82	147	1	0	0	0	0	3808					1	1	1	1	1	242;180000	242;180000	242;180000	242;180000	242;180000	
392	82	147	1	0	0	0	0	3808					1	1	1	1	1	242;180000	242;180000	242;180000	242;180000	242;180000	
393	82	147	1	0	0	0	0	3808					1	1	1	1	1	242;180000	242;180000	242;180000	242;180000	242;180000	
399	83	147	1	5	0	0	0	3808	3858				1	1	1	1	1	242;180000	242;180000	242;180000	242;180000	242;180000	
400	83	147	1	5	0	0	0	3808	3858				1	1	1	1	1	242;180000	242;180000	242;180000	242;180000	242;180000	
420	83	147	1	5	0	0	0	3808	3858				1	1	1	1	1	242;180000	242;180000	242;180000	242;180000	242;180000	
421	83	147	1	5	0	0	0	3808	3858				1	1	1	1	1	242;180000	242;180000	242;180000	242;180000	242;180000	
423	83	147	5	15	0	0	0	3809	242				1	0	0	0	0	242;180000					
424	83	82	15	0	0	0	0	246					1	0	0	0	0	246;5000					
425	83	82	5	4	0	0	0	3862	246				3	0	0	0	0	246;3863					
426	83	82	5	13	0	0	0	3862	3816/-1				2	0	0	0	0	246;20					
427	82	147	1	0	0	0	0	3827					2	0	0	0	0	242;3					
428	82	147	1	0	0	0	0	3828					2	0	0	0	0	242;3					
429	82	147	13	23	0	0	0	3813/-1	50				1	0	0	0	0	242;180000					
430	82	147	24	13	23	0	0	Skill_Devastation_1	3804/-1	100			2	0	0	0	0	242;30					
431	82	147	24	13	23	0	0	Skill_00_Devastation_1;Skill_00_Devastation_2	3826/-1	100			2	0	0	0	0	242;30					
432	83	147	1	5	0	0	0	3830	3865				1	1	1	1	1	242;180000	242;180000	242;180000	242;180000	242;180000	
433	83	147	1	5	0	0	0	3830	3865				1	1	1	1	1	242;180000	242;180000	242;180000	242;180000	242;180000	
434	83	147	1	5	0	0	0	3830	3865				1	1	1	1	1	242;180000	242;180000	242;180000	242;180000	242;180000	
435	83	147	1	5	0	0	0	3830	3865				1	1	1	1	1	242;180000	242;180000	242;180000	242;180000	242;180000	
436	83	147	1	5	0	0	0	3830	3865				1	1	1	1	1	242;180000	242;180000	242;180000	242;180000	242;180000	
437	83	147	1	5	0	0	0	3830	3865				1	1	1	1	1	242;180000	242;180000	242;180000	242;180000	242;180000	
438	82	147	13	0	0	0	0	3817					1	1	1	1	1	242;180000	242;180000	242;180000	242;180000	242;180000	
439	82	147	13	0	0	0	0	3817					1	1	1	1	1	242;180000	242;180000	242;180000	242;180000	242;180000	
440	82	147	13	0	0	0	0	3829					1	1	1	1	1	242;180000	242;180000	242;180000	242;180000	242;180000	
441	82	147	13	0	0	0	0	3829					1	1	1	1	1	242;180000	242;180000	242;180000	242;180000	242;180000	
442	82	147	24	0	0	0	0	Skill_00_Devastation_S2J_1					2	0	0	0	0	242;30					
453	84	209	5	13	11	0	0	3128	3112;3113;3114/-1	1			1	0	0	0	0	252;180000					
454	84	209	5	4	0	0	0	3128	252				3	0	0	0	0	252;3136					
456	84	209	16	0	0	0	0	252					2	0	0	0	0	252;1					
457	84	209	13	5	11	0	0	3107/-1	3129	1			1	0	0	0	0	252;180000					
458	84	209	1	11	0	0	0	3135	1				2	0	0	0	0	252;1					
459	84	209	1	11	0	0	0	3140	1				2	0	0	0	0	252;1					
460	84	209	1	11	0	0	0	3141	1				2	0	0	0	0	252;1					
461	84	209	1	11	0	0	0	3142	1				2	0	0	0	0	252;1					
462	84	209	5	13	0	0	0	3122	3107				1	1	1	0	0	252;180000	252;180000	252;180000			
463	84	209	5	19	15	0	0	3165	3165;0	252			1	0	0	0	0	252;180000;1					
900	69	9000000	5	1	11	0	0	6709	6310;6726	1			1	0	0	0	0	300;5000					
901	69	9000000	1	3	0	0	0	6710	300;1				2	0	0	0	0	300;1					
902	69	9000000	5	4	0	0	0	6709	300				3	0	0	0	0	300;6711					
903	69	209	5	13	11	0	0	6705	6308/-1	1			1	0	0	0	0	403;180000					
905	69	209	5	13	11	0	0	6705	6732/-1	1			1	1	0	0	0	403;180000	403;180000				
906	69	209	5	1	24	0	0	6705	6735	Skill_IllusionStrike_EX_Attack_Combo			2	0	0	0	0	403;50					
907	69	209	5	1	24	0	0	6705	6735	Skill_IllusionStrike_EX_Attack2_Combo			2	0	0	0	0	403;50					
908	69	9000000	5	24	0	0	0	6737	Attack1_EndOfNight;Skill_GoreKick_EndOfNight				5	0	0	0	0	403;0;6738;0					
950	63	124	5	6	0	0	0	6834	6834				1	0	0	0	0	302;6000					
951	63	124	5	4	0	0	0	6834	302				3	0	0	0	0	302;6843					
952	64	157	5	13	23	0	0	6423	6422/-1	10			1	0	0	0	0	303;90000					
953	64	157	1	24	0	0	0	6439;6440	Skill_Applause_EX_Attack_2;Skill_Punishment_EX_2				2	0	0	0	0	303;6					
954	64	157	5	4	0	0	0	6423	303				3	0	0	0	0	303;6441					
955	64	157	1	24	0	0	0	6439	Skill_Applause_EX_S1J_Attack_2				2	0	0	0	0	303;6					
962	64	157	5	13	0	0	0	6558	6004				1	1	0	0	0	303;90000	303;90000				
963	63	124	5	1	0	0	0	6835	6212				1	0	0	0	0	439;30000					
964	63	124	5	4	0	0	0	6835	439				3	0	0	0	0	439;6848					
965	63	124	1	0	0	0	0	6847					2	0	0	0	0	439;1					
1100	86	44	5	1	0	0	0	4108	4103				1	0	0	0	0	351;180000;1					
1101	86	44	1	0	0	0	0	4118					2	0	0	0	0	351;1					
1102	86	44	5	1	11	0	0	4107	4118	0.2			5	0	0	0	0	351;0;4120;0					
1103	86	147	5	20	11	0	0	4132	100	0.1			1	0	0	0	0	350;180000;1					
1104	86	147	5	13	0	0	0	4133	4100;4101;4102;4143;4106;4117				1	0	0	0	0	350;180000;1					
1105	86	147	5	1	0	0	0	4134	4112				5	0	0	0	0	350;0;4144;0					
1106	86	147	19	16	0	0	0	4941;0	350				2	0	0	0	0	350;1					
1110	86	147	19	15	0	0	0	4954;0	350				1	0	0	0	0	350;180000;5					
1111	86	147	19	15	0	0	0	4146;0	350				1	0	0	0	0	350;180000;3					
1112	86	147	19	15	0	0	0	4179;0	350				1	0	0	0	0	350;180000;3					
1200	88	147	5	13	11	0	0	5800	5700;5702;5704;5706;5708;5711;5713;5801;5722	1			1	5	5	0	0	360;45000	360;10;5816;0	360;10;5818;0			
1201	88	147	5	4	0	0	0	5800	360				3	0	0	0	0	360;5817					
1202	88	209	5	1	11	0	0	5812	5712;5714	0.3			1	5	0	0	0	361;6000	361;1;5813;0				
1203	88	147	19	1	11	0	0	5721;0	5801	1			1	1	1	1	1	360;45000	360;45000	360;45000	360;45000	360;45000	
1204	88	147	16	0	0	0	0	360					2	0	0	0	0	360;10					
1205	89	0	5	5	13	0	0	5800	9509	5700;5702;5704;5706;5708;5711;5713;5801;5722			1	5	5	0	0	360;45000	360;10;5816;0	360;10;5818;0			
1206	88	147	24	13	11	0	0	Skill_SharpnessOfHerricane_S1J	5708	1			1	5	5	0	0	360;45000	360;10;5816;0	360;10;5818;0			
1207	88	147	24	13	11	0	0	Skill_Twister_S2J	5702	1			1	1	5	5	0	360;45000	360;45000	360;10;5816;0	360;10;5818;0		
1254	90	147	1	0	0	0	0	6964;6965;6966;6967;6968;6969					1	0	0	0	0	365;180000;1					
1255	90	100000000	5	1	0	0	0	6954	6908				5	0	0	0	0	366;0;6918;0					
1256	90	100000000	5	13	0	0	0	6952	6910				5	0	0	0	0	364;0;6972;0					
1258	90	147	4	0	0	0	0	365					3	0	0	0	0	365;6974					
1259	90	147	1	0	0	0	0	6973					2	0	0	0	0	365;20					
1261	93	209	5	13	11	0	0	8000	7901;7902;7903;7904;7905;8104;8010/-1	0.2			1	0	0	0	0	376;60000					
1263	93	0	5	6	0	0	0	8102	8110				1	5	0	0	0	379;2000	379;1;8112;0				
1264	93	0	5	13	11	0	0	8108	7906;8101;8104;8001	1			1	0	0	0	0	380;5000					
1265	93	0	3	13	11	0	0	380;1	7901;7902;7903;7904;7905;8104;8010;7011;8106;8107/-1	0.2			1	0	0	0	0	381;4000					
1266	93	0	4	0	0	0	0	381					3	0	0	0	0	381;8113					
1267	93	0	1	0	0	0	0	8109					2	0	0	0	0	381;1					
1268	93	209	19	1	0	0	0	8100;0	7901;7902;7903;7904;7905;8104				1	0	0	0	0	376;60000					
1269	93	209	5	13	11	0	0	8011	7011;8106;8107/-1	0.1			1	0	0	0	0	376;60000					
1270	93	147	1	11	0	0	0	8001	1				1	0	0	0	0	382;40000					
1271	93	147	5	4	0	0	0	8000	382				3	0	0	0	0	382;8116					
1284	93	209	24	13	11	0	0	Skill_GaleStab_EX_S1J	7901	1			1	0	0	0	0	376;60000					
1262	93	0	5	1	11	0	0	8009	7915;8106	1			1	5	0	0	0	426;1000	426;1;8012;0				
1272	94	0	5	15	0	0	0	8200	377				1	0	0	0	0	377;60000					
1307	94	0	5	13	0	0	0	8200	7907;7908;7909;7911				1	0	0	0	0	377;60000					
1275	94	0	5	1	0	0	0	8200	8201				2	0	0	0	0	377;5					
1283	94	0	5	24	1	23	0	8200	Skill_Counterflare_EX_ComboL_Lv2	8201	500		2	0	0	0	0	377;5					
1276	94	0	5	4	0	0	0	8200	377				3	0	0	0	0	377;8211					
1277	94	0	19	15	0	0	0	8300;0	377				1	0	0	0	0	377;60000;0					
1278	94	0	5	1	0	0	0	8207	7909				5	0	0	0	0	377;0;8213;0					
1305	94	0	5	24	1	23	0	8200	Skill_JusticeExecution_ComboL	8317	500		2	0	0	0	0	377;1					
1306	94	0	5	24	1	23	0	8200	Skill_JusticeExecution_ComboL_HeatUp	8317	500		2	0	0	0	0	377;2					
1285	95	208	5	13	11	23	12	10199	10101/-1	0.5	100	347	1	0	0	0	0	395;120000					
1286	95	208	5	13	11	23	12	10199	10251/-1	1	100	347	1	0	0	0	0	395;120000;1					
1287	95	208	5	13	11	23	12	10199	10103/-1	0.3	100	347	1	0	0	0	0	395;120000					
1288	95	208	5	13	11	23	12	10199	10250/-1	0.333	100	347	1	0	0	0	0	395;120000					
1289	95	208	5	13	11	23	12	10199	10102;10274/-1	0.5	100	347	1	0	0	0	0	395;120000					
1290	95	208	5	13	24	23	12	10199	10200/-1	Skill_Skipping_Attack;Skill_SkippingEX_Attack	100	347	1	0	0	0	0	395;120000;3					
1291	95	208	5	13	11	23	12	10199	10271/-1	1	100	347	1	0	0	0	0	395;120000;3					
1292	96	208	3	1	0	0	0	395;20	10201				2	0	0	0	0	395;20					
1293	96	207	26	0	0	0	0	1292					1	0	0	0	0	396;60000;2					
1294	96	207	5	1	23	0	0	10201	10273;10277	100			2	0	0	0	0	396;1					
1295	96	207	5	1	23	0	0	10201	10276	100			2	0	0	0	0	396;2					
1296	96	207	5	4	0	0	0	10201	396				3	0	0	0	0	396;10216					
1297	95	208	5	4	0	0	0	10199	395				3	0	0	0	0	395;10215					
1298	96	207	5	13	0	0	0	10255	10272				1	0	0	0	0	396;60000;4					
1299	96	208	5	13	11	23	0	10208	10117	1	100		1	0	0	0	0	395;120000;10					
1300	96	100000000	5	1	0	0	0	10255	10272				1	0	0	0	0	399;30000;4					
1301	96	100000000	5	4	0	0	0	10255	399				3	0	0	0	0	399;10275					
1302	96	100000000	5	1	0	0	0	10255	10273;10276;10277				2	0	0	0	0	399;1					
1303	96	100000000	5	1	0	0	0	10210	7704				1	0	0	0	0	398;3000;1					
1310	97	147	5	13	11	23	0	10309	10105;10106;10107;10108;10303;10370;10371/-1	0.3	1000		1	0	0	0	0	397;120000					
1311	97	147	5	1	0	0	0	10309	10373;10370				2	0	0	0	0	397;5					
1312	97	147	5	1	0	0	0	10309	10311				2	0	0	0	0	397;15					
1313	97	147	13	11	23	0	0	10313/-1	1	150			1	0	0	0	0	397;120000;2					
1314	97	0	5	4	0	0	0	10309	397				3	0	0	0	0	397;10356					
1315	97	147	5	1	0	0	0	10352	10302				2	0	0	0	0	397;50					
1316	97	147	5	24	13	23	0	10309	Skill_RazerPierceEX_Attack_S1J	10105/-1	10		1	0	0	0	0	397;120000					
1330	98	221	5	13	0	0	0	8400	8401;8402;8403;8404;8501;8502;8503;8504;8505;8506/-1				1	0	0	0	0	401;100000;1					
1331	98	221	5	13	0	0	0	8400	8403;8503/-1				1	0	0	0	0	401;100000;4					
1332	98	221	5	1	0	0	0	8400	8404;8504				1	0	0	0	0	401;100000;10					
1333	98	221	5	1	0	0	0	8405	8405;8508				1	0	0	0	0	401;100000;50					
1334	98	221	5	19	13	0	0	8400	8410;0	8401;8402;8403;8404;8501;8502;8503;8504;8505;8506/-1			1	0	0	0	0	401;100000;1					
1335	98	221	5	19	13	0	0	8400	8410;0	8403;8503/-1			1	0	0	0	0	401;100000;4					
1336	98	221	5	19	1	0	0	8400	8410;0	8404;8504			1	0	0	0	0	401;100000;10					
1337	98	221	19	15	0	0	0	8500;0	401				1	0	0	0	0	401;100000;4					
1338	99	221	5	6	0	0	0	8518	7014				1	0	0	0	0	401;100000;30					
1339	99	221	5	19	13	0	0	8400	8414;0	8401;8402;8403;8404;8501;8502;8503;8504;8505;8506/-1			1	0	0	0	0	401;100000;1					
1340	99	221	5	19	13	0	0	8400	8414;0	8403;8503/-1			1	0	0	0	0	401;100000;4					
1341	99	221	5	19	1	0	0	8400	8414;0	8404;8504			1	0	0	0	0	401;100000;10					
1342	99	100000000	5	1	0	0	0	8520	8401;8402;8403;8404;8501;8502;8503;8504;8505;8506				5	0	0	0	0	401;0;8522;0					
1343	99	100000000	5	1	0	0	0	8520	8406;8407;8408;8507				5	0	0	0	0	401;0;8523;0					
1347	99	221	5	1	0	0	0	8516	8405;8508				1	0	0	0	0	401;100000;50					
1317	99	221	19	24	11	0	0	8524;0	Skill_00_Dissembler	0.3			1	0	0	0	0	401;100000;10					
1318	99	221	19	24	11	0	0	8524;0	Skill_00_Grudge;Skill_Manic_Start_Lv1	0.3			1	0	0	0	0	401;100000;15					
1319	99	221	19	24	11	0	0	8524;0	Skill_00_Infection	0.3			1	0	0	0	0	401;100000;20					
1320	99	221	19	24	11	0	0	8524;0	Skill_Manic_Start_Lv2	0.3			1	0	0	0	0	401;100000;30					
1350	0	100000000	25	1	0	0	0	268484373	11;7530;1013;1525;1716;3020;3851;2012;4003;4982;5010;6012;6834;7006;7706;12009				1	0	0	0	0	404;1000;1					
1351	0	100000000	25	1	0	0	0	268484374	11;7530;1013;1525;1716;3020;3851;2012;4003;4982;5010;6012;6834;7006;7706;12009				1	0	0	0	0	405;1600;1					
1352	0	100000000	25	4	0	0	0	268484374	405				3	0	0	0	0	405;78402					
1353	0	100000000	25	1	23	0	0	268484375	11;7530;1013;1525;1716;3020;3851;2012;4003;4982;5010;6012;6834;7006;7706;12009	800			1	0	0	0	0	406;500;1					
1354	0	100000000	25	4	0	0	0	268484375	406				3	0	0	0	0	406;78403					
1355	0	100000000	25	1	0	0	0	268484376	11;7530;1013;1525;1716;3020;3851;2012;4003;4982;5010;6012;6834;7006;7706;12009				1	0	0	0	0	407;1000;1					
1356	0	100000000	25	1	0	0	0	268484377	18;1035;3039;2042;4023;5021;6025;7041;7745;12011				1	5	0	0	0	408;3000;1	408;1;78405;0				
1357	0	100000000	25	1	23	0	0	268484382	8;1017;3015;2013;4004;5008;6010;7004;7704;12007	800			1	0	0	0	0	409;1000;1					
1358	0	100000000	25	4	0	0	0	268484382	409				3	0	0	0	0	409;78410					
1359	0	100000000	25	24	0	0	0	268484378	Down				1	5	0	0	0	410;3000;1	410;1;78406;0				
1360	0	100000000	25	24	0	0	0	268484379	Jump;Normal_Jump				1	5	0	0	0	411;3000;1	411;1;78407;0				
1361	0	100000000	25	24	11	23	0	268484380	Hit_AirDown;Hit_AirHighKnockBack;Hit_AirUp;	0.2	90000		0	0	0	0	0						
1362	0	100000000	25	24	11	23	0	268484380	Hit_Front;Hit_Left;Hit_Pushed;	0.2	90000		0	0	0	0	0						
1363	0	100000000	25	24	11	23	0	268484380	Hit_Right;Hit_Up	0.2	90000		0	0	0	0	0						
1364	0	100000000	25	26	23	0	0	268484380	1361;1362;1363	90000			1	5	0	0	0	412;30000;1	412;1;78408;0				
1365	0	100000000	25	24	11	23	0	268484381	Hit_AirDown;Hit_AirHighKnockBack;Hit_AirUp;	0.2	60000		0	0	0	0	0						
1366	0	100000000	25	24	11	23	0	268484381	Hit_Front;Hit_Left;Hit_Pushed;	0.2	60000		0	0	0	0	0						
1367	0	100000000	25	24	11	23	0	268484381	Hit_Right;Hit_Up	0.2	60000		0	0	0	0	0						
1368	0	100000000	25	26	23	0	0	268484381	1365;1366;1367	60000			1	5	0	0	0	413;15000;1	413;1;78409;0				
1369	48	100000000	5	1	24	0	0	4359	4216;4811	Skill_MechaDuck_EX_Attack3;Skill_AwG_MechaDuck_Attack3			1	5	0	0	0	419;2000;1	419;1;4363;0				
1370	48	100000000	5	1	0	0	0	7307	7304				1	0	0	0	0	419;1000;1					
1371	46	89	5	13	0	0	0	4220	30805;30806;30807;30808				1	0	0	0	0	418;90000					
1372	46	89	5	13	0	0	0	4616	30836;30837;30838;30839				1	0	0	0	0	418;90000;2					
1373	48	89	5	13	0	0	0	4356	261701;4772				1	0	0	0	0	418;90000;5					
1374	46	89	5	1	0	0	0	4220	4220;4815				2	0	0	0	0	418;70					
1375	48	100000000	5	0	0	0	0	4362					5	0	0	0	0	0;0;4364;0					
1376	48	89	5	13	0	0	0	4613	4814				1	0	0	0	0	418;90000;5					
1377	48	100000000	5	13	24	0	0	4639	4639/-1	Skill_FullMecaSwing			1	0	0	0	0	433;3000;1					
1380	44	209	5	1	0	0	0	3756	3401;3402;3408;3411;3425;3428;3553;3566;3751;3752;3757;3758;3763;3768				1	5	0	0	0	422;60000;1	422;15;3769;15				
1381	43	209	5	1	0	0	0	3718	3432				1	5	0	0	0	424;60000;1	424;30;3721;30				
1382	44	209	5	19	1	0	0	3771	3771;0	3401;3402;3408;3411;3425;3428;3553;3566;3751;3752;3757;3758;3763;3768			1	5	0	0	0	422;60000;1	422;15;3769;15				
1401	102	100000000	5	1	0	0	0	12135	12033				5	0	0	0	0	427;0;12139;0					
1402	102	243	5	13	0	0	0	12070	12030;12031;12032;12033;12072;12047;12143				1	0	0	0	0	427;120000;1					
1403	102	243	5	1	0	0	0	12070	12070				2	0	0	0	0	427;7					
1406	102	243	5	19	15	0	0	12137	12071;0	427			1	0	0	0	0	427;120000;1					
1407	102	243	5	1	0	0	0	12135	12138				1	0	0	0	0	427;120000;5					
1420	103	209	5	15	0	0	0	12100	428				1	0	0	0	0	428;120000;1					
1421	103	197	5	1	0	0	0	12102	12038				1	0	0	0	0	429;120000;2					
1422	103	197	5	1	0	0	0	12102	12117				1	0	0	0	0	429;120000;1					
1423	103	197	5	1	0	0	0	12102	12118				1	0	0	0	0	429;120000;1					
1424	103	197	5	1	0	0	0	12102	12102				2	0	0	0	0	429;10					
1425	103	209	5	1	0	0	0	12100	12009				2	0	0	0	0	428;1					
1426	103	197	5	1	0	0	0	12102	12039				1	0	0	0	0	429;120000;1					
1427	103	197	5	1	0	0	0	12102	12040				1	0	0	0	0	429;120000;1					
1428	103	197	5	1	0	0	0	12102	12041;12163				1	0	0	0	0	429;120000;1					
1430	103	197	5	1	0	0	0	12102	12150				1	0	0	0	0	429;120000;20					
1431	100	100000000	5	1	11	0	0	12050	12049	0.2			5	0	0	0	0	428;0;12115;0					
1487	0	147	25	20	11	0	0	268490507	500	1			1	5	0	0	0	430;180000;1	430;10;81188;10				
1488	0	147	25	21	11	0	0	268490507	500	1			1	5	0	0	0	430;180000;1	430;10;81188;10				
1489	0	147	25	20	11	0	0	268490508	500	1			1	5	0	0	0	430;180000;1	430;10;81188;10				
1490	0	147	25	21	11	0	0	268490508	500	1			1	5	0	0	0	430;180000;1	430;10;81188;10				
1491	0	147	25	20	11	0	0	268490509	500	1			1	5	0	0	0	430;180000;1	430;10;81188;10				
1494	0	147	25	21	11	0	0	268490509	500	1			1	5	0	0	0	430;180000;1	430;10;81188;10				
1495	0	147	25	20	11	0	0	268490510	500	1			1	5	0	0	0	430;180000;1	430;10;81188;10				
1496	0	147	25	21	11	0	0	268490510	500	1			1	5	0	0	0	430;180000;1	430;10;81188;10				
1497	0	147	25	20	11	0	0	268490511	500	1			1	5	0	0	0	430;180000;1	430;10;81188;10				
1498	0	147	25	21	11	0	0	268490511	500	1			1	5	0	0	0	430;180000;1	430;10;81188;10				
1501	79	209	5	13	0	0	0	10465	10419;10420;10424;10425;10422;10435;10485;10486;10502				1	0	0	0	0	431;90000;6					
1502	79	209	5	13	0	0	0	10465	10438/-1				1	0	0	0	0	431;90000;1					
1503	79	209	5	13	0	0	0	10464	10444;10452				1	0	0	0	0	431;90000;15					
1504	79	209	5	1	0	0	0	10465	10492;10494				2	0	0	0	0	431;15					
1505	79	209	1	3	0	0	0	10437	431;15				5	0	0	0	0	431;0;10495;0					
1506	79	209	5	19	15	0	0	10464	10497;0	431			1	0	0	0	0	431;90000;5					
1507	79	209	5	19	15	0	0	10464	10499;0	431			1	0	0	0	0	431;90000;5					
1508	78	209	5	6	0	0	0	10453	10426				1	5	0	0	0	432;10000;1	432;1;10505;1				
1509	78	209	5	1	0	0	0	10453	10428				1	5	0	0	0	432;10000;1	432;1;10505;1				
1510	78	209	5	1	0	0	0	10454	10423;10478				5	0	0	0	0	432;0;10506;0					
1521	36	209	5	1	0	0	0	2803	2800				1	0	0	0	0	434;20000;3					
1522	36	209	5	1	0	0	0	2803	2806				2	0	0	0	0	434;1					
1523	36	209	5	4	0	0	0	2803	434				3	0	0	0	0	434;2814					
1525	0	100000000	1	0	0	0	0						1	5	0	0	0	436;60000;1	436;1;81289;0				
1526	0	100000000	1	0	0	0	0	712;751;779;734;167;127					1	5	0	0	0	436;60000;1	436;1;81290;0				
1527	0	100000000	1	0	0	0	0	7614					1	5	0	0	0	436;60000;1	436;1;81291;0				
1528	0	100000000	1	0	0	0	0	1823					1	5	0	0	0	436;60000;1	436;1;81292;0				
1529	0	100000000	1	0	0	0	0	1825;1822;1824					1	5	0	0	0	436;60000;1	436;1;81293;0				
1530	0	100000000	1	0	0	0	0	1821					1	5	0	0	0	436;60000;1	436;1;81294;0				
1531	0	100000000	1	0	0	0	0						1	5	0	0	0	436;60000;1	436;1;81295;0				
1532	0	100000000	1	0	0	0	0	2611;2815;2664;2769					1	5	0	0	0	436;60000;1	436;1;81296;0				
1533	0	100000000	1	0	0	0	0	3165					1	5	0	0	0	436;60000;1	436;1;81297;0				
1534	0	100000000	1	0	0	0	0	3615					1	5	0	0	0	436;60000;1	436;1;81298;0				
1535	0	100000000	1	0	0	0	0	3672;3866;3672;3722					1	5	0	0	0	436;60000;1	436;1;81299;0				
1536	0	100000000	1	0	0	0	0	3771					1	5	0	0	0	436;60000;1	436;1;81300;0				
1537	0	100000000	1	0	0	0	0	4640					1	5	0	0	0	436;60000;1	436;1;81301;0				
1538	0	100000000	1	0	0	0	0	4609;4639;4641					1	5	0	0	0	436;60000;1	436;1;81302;0				
1539	0	100000000	1	0	0	0	0	4146;4179					1	5	0	0	0	436;60000;1	436;1;81303;0				
1540	0	100000000	1	0	0	0	0	5334;5433					1	5	0	0	0	436;60000;1	436;1;81304;0				
1541	0	100000000	1	0	0	0	0	5533;5826					1	5	0	0	0	436;60000;1	436;1;81305;0				
1542	0	100000000	1	0	0	0	0	5633					1	5	0	0	0	436;60000;1	436;1;81306;0				
1543	0	100000000	1	0	0	0	0						1	5	0	0	0	436;60000;1	436;1;81307;0				
1544	0	100000000	1	0	0	0	0	6844;6437;6737;6975;6634					1	5	0	0	0	436;60000;1	436;1;81308;0				
1545	0	100000000	1	0	0	0	0						1	5	0	0	0	436;60000;1	436;1;81309;0				
1546	0	100000000	1	0	0	0	0	7414					1	5	0	0	0	436;60000;1	436;1;81310;0				
1547	0	100000000	1	0	0	0	0	8317;7462;8119					1	5	0	0	0	436;60000;1	436;1;81311;0				
1548	0	100000000	1	0	0	0	0	8524					1	5	0	0	0	436;60000;1	436;1;81312;0				
1549	0	100000000	1	0	0	0	0	10508					1	5	0	0	0	436;60000;1	436;1;81313;0				
1550	0	100000000	1	0	0	0	0	10509;10283;10374					1	5	0	0	0	436;60000;1	436;1;81314;0				
1551	0	100000000	1	0	0	0	0						1	5	0	0	0	436;60000;1	436;1;81315;0				
1552	0	100000000	1	0	0	0	0						1	5	0	0	0	436;60000;1	436;1;81316;0				
1553	0	100000000	1	0	0	0	0	12144;12166					1	5	0	0	0	436;60000;1	436;1;81317;0				
