ROWID	_Strength|INTEGER	_Agility|INTEGER	_Intelligence|INTEGER	_Stamina|INTEGER	_Experience|INTEGER	_SuperAmmor|INTEGER	_SkillPoint|INTEGER	_Fatigue|INTEGER	_DeadDurabilityRatio|FLOAT	_KillScore|INTEGER	_Assistscore|INTEGER	_Assistdecision|INTEGER	_Aggroper|FLOAT	_WeekFatigue|INTEGER	_SKillUsageRatio|DOUBLE	_IllegalAmount|INTEGER	_BanAmount|INTEGER	_AggroperPvE|FLOAT	_VIPFatigue|INTEGER	_VIPExp|INTEGER	_LevelDExp|INTEGER	_BaseMP|INTEGER	_Critical|DOUBLE
2078	0	0	0	0	770000	100	2	1500	0.04	100	50	25	1.0	3000	0.0	4440785	68832171	1.33	150	10	3342041	100000	0.0
2079	0	0	0	0	780000	100	2	1500	0.04	100	50	25	1.0	3000	0.0	4466243	69226764	1.33	150	10	3342041	100000	0.0
2080	0	0	0	0	790000	100	2	1500	0.04	100	50	25	1.0	3000	0.0	4491955	69625302	1.33	150	10	4177551	100000	0.0
2081	0	0	0	0	800000	100	2	1500	0.04	100	50	25	1.0	3000	0.0	4517924	70027826	1.33	150	10	4177551	100000	0.0
2082	0	0	0	0	810000	100	2	1500	0.04	100	50	25	1.0	3000	0.0	4544153	70434375	1.33	150	10	4177551	100000	0.0
2083	0	0	0	0	820000	100	2	1500	0.04	100	50	25	1.0	3000	0.0	4570644	70844990	1.33	150	10	4177551	100000	0.0
2084	0	0	0	0	830000	100	2	1500	0.04	100	50	25	1.0	3000	0.0	4597401	71259711	1.33	150	10	4177551	100000	0.0
2085	0	0	0	0	840000	100	2	1500	0.04	100	50	25	1.0	3000	0.0	4624424	71678579	1.33	150	10	4177551	100000	0.0
2086	0	0	0	0	850000	100	2	1500	0.04	100	50	25	1.0	3000	0.0	4651718	72101635	1.33	150	10	4177551	100000	0.0
2087	0	0	0	0	860000	100	2	1500	0.04	100	50	25	1.0	3000	0.0	4679285	72528922	1.33	150	10	4177551	100000	0.0
2088	0	0	0	0	870000	100	2	1500	0.04	100	50	25	1.0	3000	0.0	4707128	72960483	1.33	150	10	4177551	100000	0.0
2089	0	0	0	0	880000	100	2	1500	0.04	100	50	25	1.0	3000	0.0	4735249	73396358	1.33	150	10	4177551	100000	0.0
2090	0	0	0	0	890000	100	2	1500	0.04	100	50	25	1.0	3000	0.0	4763651	73836593	1.33	150	10	5221939	100000	0.0
2091	0	0	0	0	900000	100	2	1500	0.04	100	50	25	1.0	3000	0.0	4792337	74281230	1.33	150	10	5221939	100000	0.0
2092	0	0	0	0	910000	100	2	1500	0.04	100	50	25	1.0	3000	0.0	4821311	74730313	1.33	150	10	5221939	100000	0.0
2093	0	0	0	0	920000	100	2	1500	0.04	100	50	25	1.0	3000	0.0	4850573	75183887	1.33	150	10	5221939	100000	0.0
2094	0	0	0	0	930000	100	2	1500	0.04	100	50	25	1.0	3000	0.0	4880129	75641997	1.33	150	10	5221939	100000	0.0
2095	0	0	0	0	940000	100	2	1500	0.04	100	50	25	1.0	3000	0.0	4909980	76104687	1.33	150	10	5221939	100000	0.0
2096	0	0	0	0	950000	100	2	1500	0.04	100	50	25	1.0	3000	0.0	4940129	76572005	1.33	150	10	5221939	100000	0.0
2097	0	0	0	0	960000	100	2	1500	0.04	100	50	25	1.0	3000	0.0	4970580	77043996	1.33	150	10	5221939	100000	0.0
2098	0	0	0	0	970000	100	2	1500	0.04	100	50	25	1.0	3000	0.0	5001336	77520707	1.33	150	10	5221939	100000	0.0
2099	0	0	0	0	980000	100	2	1500	0.04	100	50	25	1.0	3000	0.0	5032399	78002185	1.33	150	10	5221939	100000	0.0
2100	0	0	0	0	990000	100	2	1500	0.04	100	50	25	1.0	3000	0.0	5063773	78488478	1.33	150	10	5744132	100000	0.0
2101	15	5	15	15	0	100	0	1500	0.04	100	50	25	1.0	3000	0.0105	137172	2126166	2.25	150	10	50000	100000	17.5
2102	18	6	17	17	10000	100	3	1500	0.04	100	50	25	1.0	3000	0.0105	155333	2407658	2.25	150	10	50000	100000	21.0
2103	19	7	20	20	20000	100	3	1500	0.04	100	50	25	1.0	3000	0.0105	197528	3061679	2.25	150	10	50000	100000	24.5
2104	23	7	22	22	30000	100	3	1500	0.04	100	50	25	1.0	3000	0.0105	223679	3467028	2.25	150	10	50000	100000	24.5
2105	24	8	25	25	40000	100	3	1500	0.04	100	50	25	1.0	3000	0.0105	284440	4408818	2.25	150	10	112500	100000	28.0
2106	27	9	27	27	50000	100	3	1500	0.04	100	50	25	1.0	3000	0.0105	274024	4247368	2.25	150	10	112500	100000	31.5
2107	30	10	29	29	60000	100	3	1500	0.04	100	50	25	1.0	3000	0.0105	309599	4798781	2.25	150	10	112500	100000	35.0
2108	31	11	32	32	70000	100	3	1500	0.04	100	50	25	1.0	3000	0.0105	491512	7618437	2.25	150	10	112500	100000	38.5
2109	35	11	34	34	80000	100	3	1500	0.04	100	50	25	1.0	3000	0.0105	589814	9142125	2.25	150	10	168750	100000	38.5
2110	36	12	37	37	90000	100	3	1500	0.04	100	50	25	1.0	3000	0.0105	707777	10970550	2.25	150	10	168750	100000	42.0
2111	39	13	39	39	100000	100	3	1500	0.04	100	50	25	1.0	3000	0.0105	801483	12422989	2.25	150	10	168750	100000	45.5
2112	42	14	41	41	110000	100	3	1500	0.04	100	50	25	1.0	3000	0.0105	1019199	15797591	2.25	150	10	168750	100000	49.0
2113	43	15	44	44	120000	100	3	1500	0.04	100	50	25	1.0	3000	0.0105	1154136	17889103	2.25	150	10	168750	100000	52.5
2114	47	15	46	46	130000	100	3	1500	0.04	100	50	25	1.0	3000	0.0105	1446976	22428130	2.25	150	10	168750	100000	52.5
2115	57	19	57	57	140000	100	3	1500	0.04	100	50	25	1.0	3000	0.0105	1592707	24686963	2.25	150	10	168750	100000	66.5
2116	60	20	60	60	150000	100	3	1500	0.04	100	50	25	1.0	3000	0.0105	1810564	28063745	2.25	150	10	506250	100000	70.0
2117	63	21	63	63	160000	100	3	1500	0.04	100	50	25	1.0	3000	0.0105	1901456	29472569	2.25	150	10	506250	100000	73.5
2118	66	22	66	66	170000	100	3	1500	0.04	100	50	25	1.0	3000	0.0105	2010204	31158167	2.25	150	10	506250	100000	77.0
2119	69	23	69	69	180000	100	3	1500	0.04	100	50	25	1.0	3000	0.0105	2053373	31827282	2.25	150	10	506250	100000	80.5
2120	72	24	72	72	190000	100	3	1500	0.04	100	50	25	1.0	3000	0.0105	2102770	32592941	2.25	150	10	506250	100000	84.0
2121	75	25	75	75	200000	100	3	1500	0.04	100	50	25	1.0	3000	0.0105	2121950	32890229	2.25	150	10	506250	100000	87.5
2122	78	26	78	78	210000	100	3	1500	0.04	100	50	25	1.0	3000	0.0105	2239133	34706555	2.25	150	10	506250	100000	91.0
2123	81	27	81	81	220000	100	3	1500	0.04	100	50	25	1.0	3000	0.0105	2464645	38202001	2.25	150	10	506250	100000	94.5
2124	84	28	84	84	230000	100	3	1500	0.04	100	50	25	1.0	3000	0.0105	2801769	43427425	2.25	150	10	1012500	100000	98.0
2125	89	30	88	88	240000	100	3	1500	0.04	100	50	25	1.0	3000	0.0105	2942421	45607518	2.25	150	10	1012500	100000	105.0
2126	93	31	93	93	250000	100	3	1500	0.04	100	50	25	1.0	3000	0.0105	3110704	48215907	2.25	150	10	1012500	100000	108.5
2127	98	33	97	97	260000	100	3	1500	0.04	100	50	25	1.0	3000	0.0105	3177505	49251333	2.25	150	10	1012500	100000	115.5
2128	102	34	102	102	270000	100	3	1500	0.04	100	50	25	1.0	3000	0.0105	3253946	50436158	2.25	150	10	1012500	100000	119.0
2129	107	36	106	106	280000	100	3	1500	0.04	100	50	25	1.0	3000	0.0105	3283626	50896198	2.25	150	10	1012500	100000	126.0
2130	111	37	111	111	290000	100	3	1500	0.04	100	50	25	1.0	3000	0.0105	3464960	53706883	2.25	150	10	1012500	100000	129.5
2131	116	39	115	115	300000	100	3	1500	0.04	100	50	25	1.0	3000	0.0105	3813931	59115934	2.25	150	10	1012500	100000	136.5
2132	120	40	120	120	310000	100	3	1500	0.04	100	50	25	1.0	3000	0.0105	4384056	67952864	2.25	150	10	1316250	100000	140.0
2133	126	42	126	126	320000	100	3	1500	0.04	100	50	25	1.0	3000	0.0105	4487379	69554377	2.25	150	10	1316250	100000	147.0
2134	132	44	132	132	330000	100	3	1500	0.04	100	50	25	1.0	3000	0.0105	4618666	71589320	2.25	150	10	1316250	100000	154.0
2135	138	46	138	138	340000	100	3	1500	0.04	100	50	25	1.0	3000	0.0105	4664991	72307367	2.25	150	10	1316250	100000	161.0
2136	144	48	144	144	350000	100	3	1500	0.04	100	50	25	1.0	3000	0.0105	4728193	73286992	2.25	150	10	1316250	100000	168.0
2137	150	50	150	150	360000	100	3	1500	0.04	100	50	25	1.0	3000	0.0105	4758951	73763738	2.25	150	10	1316250	100000	175.0
2138	156	52	156	156	370000	100	3	1500	0.04	100	50	25	1.0	3000	0.0105	4931711	76441515	2.25	150	10	1316250	100000	182.0
2139	162	54	162	162	380000	100	3	1500	0.04	100	50	25	1.0	3000	0.0105	5167031	80088978	2.25	150	10	1316250	100000	189.0
2140	168	56	168	168	390000	100	3	1500	0.04	100	50	25	1.0	3000	0.0105	5457676	84593983	2.25	150	10	1711125	100000	196.0
2141	178	58	178	178	400000	100	3	1500	0.04	100	50	25	1.0	3000	0.0105	3623622	56166146	2.25	150	10	1711125	100000	203.0
2142	188	60	188	188	410000	100	3	1500	0.04	100	50	25	1.0	3000	0.0105	3664703	56802904	2.25	150	10	1711125	100000	210.0
2143	198	62	198	198	420000	100	3	1500	0.04	100	50	25	1.0	3000	0.0105	3692041	57226633	2.25	150	10	1711125	100000	217.0
2144	208	64	208	208	430000	100	3	1500	0.04	100	50	25	1.0	3000	0.0105	3710085	57506311	2.25	150	10	1711125	100000	224.0
2145	220	67	219	219	440000	100	3	1500	0.04	100	50	25	1.0	3000	0.0105	3728235	57787645	2.25	150	10	1711125	100000	234.5
2146	231	69	231	231	450000	100	3	1500	0.04	100	50	25	1.0	3000	0.0105	3746567	58071793	2.25	150	10	1711125	100000	241.5
2147	243	72	242	242	460000	100	3	1500	0.04	100	50	25	1.0	3000	0.0105	3765083	58358781	2.25	150	10	1711125	100000	252.0
2148	254	74	254	254	470000	100	3	1500	0.04	100	50	25	1.0	3000	0.0105	3783783	58648640	2.25	150	10	1711125	100000	259.0
2149	267	77	267	267	480000	100	3	1500	0.04	100	50	25	1.0	3000	0.0105	3802671	58941397	2.25	150	10	1711125	100000	269.5
2150	280	80	280	280	490000	100	3	1500	0.04	100	50	25	1.0	3000	0.0105	3821747	59237082	2.25	150	10	2138906	100000	280.0
2151	295	85	295	295	500000	100	2	1500	0.04	100	50	25	1.0	3000	0.0105	3841014	59535724	2.25	150	10	2138906	100000	297.5
2152	310	90	310	310	510000	100	2	1500	0.04	100	50	25	1.0	3000	0.0105	3860474	59837352	2.25	150	10	2138906	100000	315.0
2153	327	96	326	326	520000	100	2	1500	0.04	100	50	25	1.0	3000	0.0105	3880129	60141997	2.25	150	10	2138906	100000	336.0
2154	343	101	343	343	530000	100	2	1500	0.04	100	50	25	1.0	3000	0.0105	3899980	60449687	2.25	150	10	2138906	100000	353.5
2155	360	107	359	359	540000	100	2	1500	0.04	100	50	25	1.0	3000	0.0105	3920029	60760455	2.25	150	10	2138906	100000	374.5
2156	376	112	376	376	550000	100	2	1500	0.04	100	50	25	1.0	3000	0.0105	3940279	61074331	2.25	150	10	2138906	100000	392.0
2157	394	118	394	394	560000	100	2	1500	0.04	100	50	25	1.0	3000	0.0105	3960732	61391345	2.25	150	10	2138906	100000	413.0
2158	412	124	412	412	570000	100	2	1500	0.04	100	50	25	1.0	3000	0.0105	3981389	61711529	2.25	150	10	2138906	100000	434.0
2159	430	130	430	430	580000	100	2	1500	0.04	100	50	25	1.0	3000	0.0105	4002253	62034915	2.25	150	10	2138906	100000	455.0
2160	448	136	448	448	590000	100	2	1500	0.04	100	50	25	1.0	3000	0.0105	4023325	62361535	2.25	150	10	2673632	100000	476.0
2161	469	143	469	469	600000	100	2	1500	0.04	100	50	25	1.0	3000	0.0105	4044608	62691422	2.25	150	10	2673632	100000	500.5
2162	496	152	496	496	610000	100	2	1500	0.04	100	50	25	1.0	3000	0.0105	4066104	63024607	2.25	150	10	2673632	100000	532.0
2163	529	163	529	529	620000	100	2	1500	0.04	100	50	25	1.0	3000	0.0105	4087814	63361124	2.25	150	10	2673632	100000	570.5
2164	568	176	568	568	630000	100	2	1500	0.04	100	50	25	1.0	3000	0.0105	4109742	63701006	2.25	150	10	2673632	100000	616.0
2165	613	191	613	613	640000	100	2	1500	0.04	100	50	25	1.0	3000	0.0105	4131889	64044287	2.25	150	10	2673632	100000	668.5
2166	664	208	664	664	650000	100	2	1500	0.04	100	50	25	1.0	3000	0.0105	4154258	64391001	2.25	150	10	2673632	100000	728.0
2167	721	227	721	721	660000	100	2	1500	0.04	100	50	25	1.0	3000	0.0105	4176850	64741182	2.25	150	10	2673632	100000	794.5
2168	786	249	785	785	670000	100	2	1500	0.04	100	50	25	1.0	3000	0.0105	4199669	65094864	2.25	150	10	2673632	100000	871.5
2169	858	273	857	857	680000	100	2	1500	0.04	100	50	25	1.0	3000	0.0105	4222715	65452084	2.25	150	10	2673632	100000	955.5
2170	937	299	937	937	690000	100	2	1500	0.04	100	50	25	1.0	3000	0.0105	4245992	65812875	2.25	150	10	3342041	100000	1046.5
2171	1017	326	1016	1016	700000	100	2	1500	0.04	100	50	25	1.0	3000	0.0105	4269502	66177275	2.25	150	10	3342041	100000	1141.0
2172	1096	352	1096	1096	710000	100	2	1500	0.04	100	50	25	1.0	3000	0.0105	4293246	66545319	2.25	150	10	3342041	100000	1232.0
2173	1176	379	1175	1175	720000	100	2	1500	0.04	100	50	25	1.0	3000	0.0105	4317229	66917043	2.25	150	10	3342041	100000	1326.5
2174	1255	405	1255	1255	730000	100	2	1500	0.04	100	50	25	1.0	3000	0.0105	4341451	67292484	2.25	150	10	3342041	100000	1417.5
2175	1345	435	1345	1345	740000	100	2	1500	0.04	100	50	25	1.0	3000	0.0105	4365915	67671680	2.25	150	10	3342041	100000	1522.5
2176	1435	465	1435	1435	750000	100	2	1500	0.04	100	50	25	1.0	3000	0.0105	4390624	68054668	2.25	150	10	3342041	100000	1627.5
2177	1525	495	1525	1525	760000	100	2	1500	0.04	100	50	25	1.0	3000	0.0105	4415580	68441485	2.25	150	10	3342041	100000	1732.5
2178	1615	525	1615	1615	770000	100	2	1500	0.04	100	50	25	1.0	3000	0.0105	4440785	68832171	2.25	150	10	3342041	100000	1837.5
2179	1705	555	1705	1705	780000	100	2	1500	0.04	100	50	25	1.0	3000	0.0105	4466243	69226764	2.25	150	10	3342041	100000	1942.5
2180	1795	585	1795	1795	790000	100	2	1500	0.04	100	50	25	1.0	3000	0.0105	4491955	69625302	2.25	150	10	4177551	100000	2047.5
2181	1885	615	1885	1885	800000	100	2	1500	0.04	100	50	25	1.0	3000	0.0105	4517924	70027826	2.25	150	10	4177551	100000	2152.5
2182	1975	645	1975	1975	810000	100	2	1500	0.04	100	50	25	1.0	3000	0.0105	4544153	70434375	2.25	150	10	4177551	100000	2257.5
2183	2065	675	2065	2065	820000	100	2	1500	0.04	100	50	25	1.0	3000	0.0105	4570644	70844990	2.25	150	10	4177551	100000	2362.5
2184	2155	705	2155	2155	830000	100	2	1500	0.04	100	50	25	1.0	3000	0.0105	4597401	71259711	2.25	150	10	4177551	100000	2467.5
2185	2260	740	2260	2260	840000	100	2	1500	0.04	100	50	25	1.0	3000	0.0105	4624424	71678579	2.25	150	10	4177551	100000	2590.0
2186	2365	775	2365	2365	850000	100	2	1500	0.04	100	50	25	1.0	3000	0.0105	4651718	72101635	2.25	150	10	4177551	100000	2712.5
2187	2470	810	2470	2470	860000	100	2	1500	0.04	100	50	25	1.0	3000	0.0105	4679285	72528922	2.25	150	10	4177551	100000	2835.0
2188	2575	845	2575	2575	870000	100	2	1500	0.04	100	50	25	1.0	3000	0.0105	4707128	72960483	2.25	150	10	4177551	100000	2957.5
2189	2680	880	2680	2680	880000	100	2	1500	0.04	100	50	25	1.0	3000	0.0105	4735249	73396358	2.25	150	10	4177551	100000	3080.0
2190	2800	920	2800	2800	890000	100	2	1500	0.04	100	50	25	1.0	3000	0.0105	4763651	73836593	2.25	150	10	5221939	100000	3220.0
2191	2920	960	2920	2920	900000	100	2	1500	0.04	100	50	25	1.0	3000	0.0105	4792337	74281230	2.25	150	10	5221939	100000	3360.0
2192	3040	1000	3040	3040	910000	100	2	1500	0.04	100	50	25	1.0	3000	0.0105	4821311	74730313	2.25	150	10	5221939	100000	3500.0
2193	3160	1040	3160	3160	920000	100	2	1500	0.04	100	50	25	1.0	3000	0.0105	4850573	75183887	2.25	150	10	5221939	100000	3640.0
2194	3280	1080	3280	3280	930000	100	2	1500	0.04	100	50	25	1.0	3000	0.0105	4880129	75641997	2.25	150	10	5221939	100000	3780.0
2195	3415	1125	3415	3415	940000	100	2	1500	0.04	100	50	25	1.0	3000	0.0105	4909980	76104687	2.25	150	10	5221939	100000	3937.5
2196	3550	1170	3550	3550	950000	100	2	1500	0.04	100	50	25	1.0	3000	0.0105	4940129	76572005	2.25	150	10	5221939	100000	4095.0
2197	3685	1215	3685	3685	960000	100	2	1500	0.04	100	50	25	1.0	3000	0.0105	4970580	77043996	2.25	150	10	5221939	100000	4252.5
2198	3820	1260	3820	3820	970000	100	2	1500	0.04	100	50	25	1.0	3000	0.0105	5001336	77520707	2.25	150	10	5221939	100000	4410.0
2199	3955	1305	3955	3955	980000	100	2	1500	0.04	100	50	25	1.0	3000	0.0105	5032399	78002185	2.25	150	10	5221939	100000	4567.5
2200	4090	1350	4090	4090	990000	100	2	1500	0.04	100	50	25	1.0	3000	0.0105	5063773	78488478	2.25	150	10	5744132	100000	4725.0
2201	18	10	10	12	0	100	0	1500	0.04	100	50	33	1.0	3000	0.007	137172	2126166	3.33	150	10	50000	200000	50.0
2202	20	12	12	14	10000	100	3	1500	0.04	100	50	33	1.0	3000	0.007	155333	2407658	3.33	150	10	50000	200000	60.0
2203	24	13	13	16	20000	100	3	1500	0.04	100	50	33	1.0	3000	0.007	197528	3061679	3.33	150	10	50000	200000	65.0
2204	26	15	15	18	30000	100	3	1500	0.04	100	50	33	1.0	3000	0.007	223679	3467028	3.33	150	10	50000	200000	75.0
2205	30	16	16	20	40000	100	3	1500	0.04	100	50	33	1.0	3000	0.007	284440	4408818	3.33	150	10	112500	200000	80.0
2206	32	18	18	22	50000	100	3	1500	0.04	100	50	33	1.0	3000	0.007	274024	4247368	3.33	150	10	112500	200000	90.0
2207	34	20	20	24	60000	100	3	1500	0.04	100	50	33	1.0	3000	0.007	309599	4798781	3.33	150	10	112500	200000	100.0
2208	38	21	21	26	70000	100	3	1500	0.04	100	50	33	1.0	3000	0.007	491512	7618437	3.33	150	10	112500	200000	105.0
2209	40	23	23	28	80000	100	3	1500	0.04	100	50	33	1.0	3000	0.007	589814	9142125	3.33	150	10	168750	200000	115.0
2210	44	24	24	30	90000	100	3	1500	0.04	100	50	33	1.0	3000	0.007	707777	10970550	3.33	150	10	168750	200000	120.0
2211	46	26	26	32	100000	100	3	1500	0.04	100	50	33	1.0	3000	0.007	801483	12422989	3.33	150	10	168750	200000	130.0
2212	48	28	28	34	110000	100	3	1500	0.04	100	50	33	1.0	3000	0.007	1019199	15797591	3.33	150	10	168750	200000	140.0
2213	52	29	29	36	120000	100	3	1500	0.04	100	50	33	1.0	3000	0.007	1154136	17889103	3.33	150	10	168750	200000	145.0
2214	54	31	31	38	130000	100	3	1500	0.04	100	50	33	1.0	3000	0.007	1446976	22428130	3.33	150	10	168750	200000	155.0
2215	66	38	38	48	140000	100	3	1500	0.04	100	50	33	1.0	3000	0.007	1592707	24686963	3.33	150	10	168750	200000	190.0
2216	70	40	40	50	150000	100	3	1500	0.04	100	50	33	1.0	3000	0.007	1810564	28063745	3.33	150	10	506250	200000	200.0
2217	74	42	42	52	160000	100	3	1500	0.04	100	50	33	1.0	3000	0.007	1901456	29472569	3.33	150	10	506250	200000	210.0
2218	77	44	44	55	170000	100	3	1500	0.04	100	50	33	1.0	3000	0.007	2010204	31158167	3.33	150	10	506250	200000	220.0
2219	80	46	46	58	180000	100	3	1500	0.04	100	50	33	1.0	3000	0.007	2053373	31827282	3.33	150	10	506250	200000	230.0
2220	84	48	48	60	190000	100	3	1500	0.04	100	50	33	1.0	3000	0.007	2102770	32592941	3.33	150	10	506250	200000	240.0
2221	88	50	50	62	200000	100	3	1500	0.04	100	50	33	1.0	3000	0.007	2121950	32890229	3.33	150	10	506250	200000	250.0
2222	91	52	52	65	210000	100	3	1500	0.04	100	50	33	1.0	3000	0.007	2239133	34706555	3.33	150	10	506250	200000	260.0
2223	94	54	54	68	220000	100	3	1500	0.04	100	50	33	1.0	3000	0.007	2464645	38202001	3.33	150	10	506250	200000	270.0
2224	98	56	56	70	230000	100	3	1500	0.04	100	50	33	1.0	3000	0.007	2801769	43427425	3.33	150	10	1012500	200000	280.0
2225	103	59	59	74	240000	100	3	1500	0.04	100	50	33	1.0	3000	0.007	2942421	45607518	3.33	150	10	1012500	200000	295.0
2226	108	62	62	78	250000	100	3	1500	0.04	100	50	33	1.0	3000	0.007	3110704	48215907	3.33	150	10	1012500	200000	310.0
2227	114	65	65	81	260000	100	3	1500	0.04	100	50	33	1.0	3000	0.007	3177505	49251333	3.33	150	10	1012500	200000	325.0
2228	119	68	68	85	270000	100	3	1500	0.04	100	50	33	1.0	3000	0.007	3253946	50436158	3.33	150	10	1012500	200000	340.0
2229	124	71	71	89	280000	100	3	1500	0.04	100	50	33	1.0	3000	0.007	3283626	50896198	3.33	150	10	1012500	200000	355.0
2230	130	74	74	92	290000	100	3	1500	0.04	100	50	33	1.0	3000	0.007	3464960	53706883	3.33	150	10	1012500	200000	370.0
2231	135	77	77	96	300000	100	3	1500	0.04	100	50	33	1.0	3000	0.007	3813931	59115934	3.33	150	10	1012500	200000	385.0
2232	140	80	80	100	310000	100	3	1500	0.04	100	50	33	1.0	3000	0.007	4384056	67952864	3.33	150	10	1316250	200000	400.0
2233	147	84	84	105	320000	100	3	1500	0.04	100	50	33	1.0	3000	0.007	4487379	69554377	3.33	150	10	1316250	200000	420.0
2234	154	88	88	110	330000	100	3	1500	0.04	100	50	33	1.0	3000	0.007	4618666	71589320	3.33	150	10	1316250	200000	440.0
2235	161	92	92	115	340000	100	3	1500	0.04	100	50	33	1.0	3000	0.007	4664991	72307367	3.33	150	10	1316250	200000	460.0
2236	168	96	96	120	350000	100	3	1500	0.04	100	50	33	1.0	3000	0.007	4728193	73286992	3.33	150	10	1316250	200000	480.0
2237	175	100	100	125	360000	100	3	1500	0.04	100	50	33	1.0	3000	0.007	4758951	73763738	3.33	150	10	1316250	200000	500.0
2238	182	104	104	130	370000	100	3	1500	0.04	100	50	33	1.0	3000	0.007	4931711	76441515	3.33	150	10	1316250	200000	520.0
2239	189	108	108	135	380000	100	3	1500	0.04	100	50	33	1.0	3000	0.007	5167031	80088978	3.33	150	10	1316250	200000	540.0
2240	196	112	112	140	390000	100	3	1500	0.04	100	50	33	1.0	3000	0.007	5457676	84593983	3.33	150	10	1711125	200000	560.0
2241	208	118	118	148	400000	100	3	1500	0.04	100	50	33	1.0	3000	0.007	3623622	56166146	3.33	150	10	1711125	200000	590.0
2242	220	124	124	156	410000	100	3	1500	0.04	100	50	33	1.0	3000	0.007	3664703	56802904	3.33	150	10	1711125	200000	620.0
2243	232	130	130	164	420000	100	3	1500	0.04	100	50	33	1.0	3000	0.007	3692041	57226633	3.33	150	10	1711125	200000	650.0
2244	244	136	136	172	430000	100	3	1500	0.04	100	50	33	1.0	3000	0.007	3710085	57506311	3.33	150	10	1711125	200000	680.0
2245	258	143	143	181	440000	100	3	1500	0.04	100	50	33	1.0	3000	0.007	3728235	57787645	3.33	150	10	1711125	200000	715.0
2246	272	150	150	190	450000	100	3	1500	0.04	100	50	33	1.0	3000	0.007	3746567	58071793	3.33	150	10	1711125	200000	750.0
2247	285	157	157	200	460000	100	3	1500	0.04	100	50	33	1.0	3000	0.007	3765083	58358781	3.33	150	10	1711125	200000	785.0
2248	299	164	164	209	470000	100	3	1500	0.04	100	50	33	1.0	3000	0.007	3783783	58648640	3.33	150	10	1711125	200000	820.0
2249	314	172	172	220	480000	100	3	1500	0.04	100	50	33	1.0	3000	0.007	3802671	58941397	3.33	150	10	1711125	200000	860.0
2250	330	180	180	230	490000	100	3	1500	0.04	100	50	33	1.0	3000	0.007	3821747	59237082	3.33	150	10	2138906	200000	900.0
2251	348	190	190	242	500000	100	2	1500	0.04	100	50	33	1.0	3000	0.007	3841014	59535724	3.33	150	10	2138906	200000	950.0
2252	365	200	200	255	510000	100	2	1500	0.04	100	50	33	1.0	3000	0.007	3860474	59837352	3.33	150	10	2138906	200000	1000.0
2253	384	211	211	269	520000	100	2	1500	0.04	100	50	33	1.0	3000	0.007	3880129	60141997	3.33	150	10	2138906	200000	1055.0
2254	404	222	222	282	530000	100	2	1500	0.04	100	50	33	1.0	3000	0.007	3899980	60449687	3.33	150	10	2138906	200000	1110.0
2255	423	233	233	296	540000	100	2	1500	0.04	100	50	33	1.0	3000	0.007	3920029	60760455	3.33	150	10	2138906	200000	1165.0
2256	442	244	244	310	550000	100	2	1500	0.04	100	50	33	1.0	3000	0.007	3940279	61074331	3.33	150	10	2138906	200000	1220.0
2257	463	256	256	325	560000	100	2	1500	0.04	100	50	33	1.0	3000	0.007	3960732	61391345	3.33	150	10	2138906	200000	1280.0
2258	484	268	268	340	570000	100	2	1500	0.04	100	50	33	1.0	3000	0.007	3981389	61711529	3.33	150	10	2138906	200000	1340.0
2259	505	280	280	355	580000	100	2	1500	0.04	100	50	33	1.0	3000	0.007	4002253	62034915	3.33	150	10	2138906	200000	1400.0
2260	526	292	292	370	590000	100	2	1500	0.04	100	50	33	1.0	3000	0.007	4023325	62361535	3.33	150	10	2673632	200000	1460.0
2261	550	306	306	388	600000	100	2	1500	0.04	100	50	33	1.0	3000	0.007	4044608	62691422	3.33	150	10	2673632	200000	1530.0
2262	582	324	324	410	610000	100	2	1500	0.04	100	50	33	1.0	3000	0.007	4066104	63024607	3.33	150	10	2673632	200000	1620.0
2263	620	346	346	438	620000	100	2	1500	0.04	100	50	33	1.0	3000	0.007	4087814	63361124	3.33	150	10	2673632	200000	1730.0
2264	666	372	372	470	630000	100	2	1500	0.04	100	50	33	1.0	3000	0.007	4109742	63701006	3.33	150	10	2673632	200000	1860.0
2265	718	402	402	508	640000	100	2	1500	0.04	100	50	33	1.0	3000	0.007	4131889	64044287	3.33	150	10	2673632	200000	2010.0
2266	778	436	436	550	650000	100	2	1500	0.04	100	50	33	1.0	3000	0.007	4154258	64391001	3.33	150	10	2673632	200000	2180.0
2267	844	474	474	598	660000	100	2	1500	0.04	100	50	33	1.0	3000	0.007	4176850	64741182	3.33	150	10	2673632	200000	2370.0
2268	920	517	517	651	670000	100	2	1500	0.04	100	50	33	1.0	3000	0.007	4199669	65094864	3.33	150	10	2673632	200000	2585.0
2269	1004	565	565	711	680000	100	2	1500	0.04	100	50	33	1.0	3000	0.007	4222715	65452084	3.33	150	10	2673632	200000	2825.0
2270	1096	618	618	778	690000	100	2	1500	0.04	100	50	33	1.0	3000	0.007	4245992	65812875	3.33	150	10	3342041	200000	3090.0
2271	1189	671	671	844	700000	100	2	1500	0.04	100	50	33	1.0	3000	0.007	4269502	66177275	3.33	150	10	3342041	200000	3355.0
2272	1282	724	724	910	710000	100	2	1500	0.04	100	50	33	1.0	3000	0.007	4293246	66545319	3.33	150	10	3342041	200000	3620.0
