ROWID	_NameID|INTEGER	_DescriptionID|INTEGER	_Type|INTEGER	_MissionID|INTEGER	_EventPeriod|TEXT	_RepeatType|INTEGER	_TimeCheck|INTEGER	_Run|BOOLEAN
1000407	1000102072	1000081833	1	4921	201712140000:201712312359	2	60	false
1000408	1000102072	1000081834	1	4922	201712140000:201712312359	2	90	false
1000409	1000102072	1000081835	1	4923	201712140000:201712312359	2	120	false
1000410	1000102072	1000123165	1	4924	201712140000:201712312359	2	150	false
1000411	1000102072	1000082538	1	4925	201712140000:201712312359	2	180	false
1000415	1000040276	1000113960	1	4926	201801010000:201801102359	2	1	false
1000416	1000040276	1000124869	1	4927	201801010000:201801102359	2	18	false
1000417	1000040276	1000087793	1	4928	201801010000:201801102359	2	20	false
1000418	1000125654	1000113960	1	4951	201801230000:201802012359	2	1	false
1000419	1000125654	1000081833	1	4952	201801230000:201802012359	2	2	false
1000420	1000125654	1000081834	1	4953	201801230000:201802012359	2	4	false
1000421	1000125654	1000081835	1	4954	201801230000:201802012359	2	7	false
1000422	1000125654	1000113960	1	4951	201802080000:201802142359	2	1	false
1000423	1000125654	1000081833	1	4952	201802080000:201802142359	2	60	false
1000424	1000125654	1000081834	1	4953	201802080000:201802142359	2	90	false
1000425	1000125654	1000081835	1	4954	201802080000:201802142359	2	120	false
1000426	1000120587	1000081832	1	5001	201808230000:201808312359	2	1	false
1000427	1000120587	1000081832	1	5001	201809220000:201809292359	2	30	false
1000431	1000064405	1000064406	1	5004	201810110000:201811142359	2	30	false
1000432	1000064405	1000064407	1	5005	201810110000:201811142359	2	60	false
1000433	1000064405	1000064408	1	5006	201810110000:201811142359	2	90	false
1000441	1000143541	1000066896	1	5030	201812130000:201901102359	2	30	false
1000442	1000143541	1000066897	1	5031	201812130000:201901102359	2	60	false
1000443	1000143541	1000143542	1	5032	201812130000:201901102359	2	150	false
1000444	1000143541	1000085293	1	5033	201812130000:201901102359	2	180	false
1000445	1000143541	1000143543	1	5034	201812130000:201901102359	2	240	false
1000446	1000143541	1000143544	1	5035	201812130000:201901102359	0	1800	false
1000447	1000143541	1000143545	1	5036	201812130000:201901102359	0	3000	false
