ROWID	_Mode|INTEGER	_JobID|INTEGER	_PhysicalAttackMinRevision|INTEGER	_PhysicalAttackMaxRevision|INTEGER	_MagicAttackMinRevision|INTEGER	_MagicAttackMaxRevision|INTEGER	_PhysicalDefenseRevision|INTEGER	_MagicDefenseRevision|INTEGER	_MaxHPRevision|INTEGER	_MaxSPRevision|INTEGER	_RecoverySPRevision|INTEGER	_StiffRevision|INTEGER	_StiffResistanceRevision|INTEGER	_CriticalRevision|INTEGER	_CriticalResistanceRevision|INTEGER	_StunRevision|INTEGER	_StunResistanceRevision|INTEGER	_SuperAmmorRevision|INTEGER	_MoveSpeedRevision|INTEGER	_FinalDamageRevision|INTEGER	_ElementAttackRevision|INTEGER	_ElementDefenseRevision|INTEGER	_StrengthRevision|INTEGER	_AgilityRevision|INTEGER	_IntelligenceRevision|INTEGER	_StaminaRevision|INTEGER	_CriticalDamageRevision|INTEGER	_PVPAttackPowerRevision|INTEGER	_PVPDefencePowerRevision|INTEGER
169	24	90	79560000	79560000	79560000	79560000	306000	306000	16000000	250000	100	150000	150000	1041000	3000000	100000	50000	0	511	17400	0	0	300000	300000	300000	10000	2250000	0	0
170	24	91	79560000	79560000	79560000	79560000	306000	306000	16000000	250000	100	150000	150000	1041000	3000000	100000	50000	0	511	17400	0	0	300000	300000	300000	10000	2250000	0	0
171	24	92	79560000	79560000	79560000	79560000	306000	306000	16000000	250000	100	150000	150000	1041000	3000000	100000	50000	0	511	17400	0	0	300000	300000	300000	10000	2250000	0	0
172	24	93	79560000	79560000	79560000	79560000	306000	306000	16000000	250000	100	150000	150000	1041000	3000000	100000	50000	0	511	17400	0	0	300000	300000	300000	10000	2250000	0	0
173	24	94	79560000	79560000	79560000	79560000	306000	306000	16000000	250000	100	150000	150000	1041000	3000000	100000	50000	0	511	17400	0	0	300000	300000	300000	10000	2250000	0	0
174	24	95	79560000	79560000	79560000	79560000	306000	306000	16000000	250000	100	150000	150000	1041000	3000000	100000	50000	0	511	17400	0	0	300000	300000	300000	10000	2250000	0	0
175	24	96	79560000	79560000	79560000	79560000	306000	306000	16000000	250000	100	150000	150000	1041000	3000000	100000	50000	0	511	17400	0	0	300000	300000	300000	10000	2250000	0	0
176	24	97	79560000	79560000	79560000	79560000	306000	306000	16000000	250000	100	150000	150000	1041000	3000000	100000	50000	0	511	17400	0	0	300000	300000	300000	10000	2250000	0	0
177	24	98	79560000	79560000	79560000	79560000	306000	306000	16000000	250000	100	150000	150000	1041000	3000000	100000	50000	0	511	17400	0	0	300000	300000	300000	10000	2250000	0	0
178	24	99	79560000	79560000	79560000	79560000	306000	306000	16000000	250000	100	150000	150000	1041000	3000000	100000	50000	0	511	17400	0	0	300000	300000	300000	10000	2250000	0	0
200	25	1	3400000	3400000	3400000	3400000	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	38	0	350000	350000	350000	15000	1350000	0	0
201	25	2	3400000	3400000	3400000	3400000	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	38	0	350000	350000	350000	15000	1350000	0	0
202	25	3	3400000	3400000	3400000	3400000	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	53	0	350000	350000	350000	15000	1350000	0	0
203	25	4	3400000	3400000	3400000	3400000	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	53	0	350000	350000	350000	15000	1350000	0	0
204	25	5	3400000	3400000	3400000	3400000	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	38	0	350000	350000	350000	15000	1350000	0	0
205	25	6	3400000	3400000	3400000	3400000	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	38	0	350000	350000	350000	15000	1350000	0	0
206	25	7	3400000	3400000	3400000	3400000	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	53	0	350000	350000	350000	15000	1350000	0	0
207	25	8	3400000	3400000	3400000	3400000	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	38	0	350000	350000	350000	15000	1350000	0	0
208	25	9	3400000	3400000	3400000	3400000	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	38	0	350000	350000	350000	15000	1350000	0	0
209	25	11	3400000	3400000	3400000	3400000	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	38	0	350000	350000	350000	15000	1350000	0	0
210	25	12	3400000	3400000	3400000	3400000	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	38	0	350000	350000	350000	15000	1350000	0	0
211	25	75	3400000	3400000	3400000	3400000	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	53	0	350000	350000	350000	15000	1350000	0	0
212	25	14	3400000	3400000	3400000	3400000	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	38	0	350000	350000	350000	15000	1350000	0	0
213	25	15	3400000	3400000	3400000	3400000	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	38	0	350000	350000	350000	15000	1350000	0	0
214	25	17	3400000	3400000	3400000	3400000	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	53	0	350000	350000	350000	15000	1350000	0	0
215	25	18	3400000	3400000	3400000	3400000	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	53	0	350000	350000	350000	15000	1350000	0	0
216	25	20	3400000	3400000	3400000	3400000	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	53	0	350000	350000	350000	15000	1350000	0	0
217	25	22	3400000	3400000	3400000	3400000	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	53	0	350000	350000	350000	15000	1350000	0	0
218	25	23	3400000	3400000	3400000	3400000	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	38	0	350000	350000	350000	15000	1350000	0	0
219	25	24	3400000	3400000	3400000	3400000	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	38	0	350000	350000	350000	15000	1350000	0	0
220	25	25	3400000	3400000	3400000	3400000	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	38	0	350000	350000	350000	15000	1350000	0	0
221	25	26	3400000	3400000	3400000	3400000	159000	246000	10000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	38	0	350000	350000	350000	15000	1350000	0	0
222	25	29	3400000	3400000	3400000	3400000	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	38	0	350000	350000	350000	15000	1350000	0	0
223	25	30	3400000	3400000	3400000	3400000	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	38	0	350000	350000	350000	15000	1350000	0	0
224	25	31	3400000	3400000	3400000	3400000	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	38	0	350000	350000	350000	15000	1350000	0	0
225	25	32	3400000	3400000	3400000	3400000	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	38	0	350000	350000	350000	15000	1350000	0	0
226	25	35	3400000	3400000	3400000	3400000	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	53	0	350000	350000	350000	15000	1350000	0	0
227	25	36	3400000	3400000	3400000	3400000	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	53	0	350000	350000	350000	15000	1350000	0	0
228	25	37	3400000	3400000	3400000	3400000	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	53	0	350000	350000	350000	15000	1350000	0	0
229	25	38	3400000	3400000	3400000	3400000	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	53	0	350000	350000	350000	15000	1350000	0	0
230	25	41	3400000	3400000	3400000	3400000	159000	246000	10000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	53	0	350000	350000	350000	15000	1350000	0	0
231	25	42	3400000	3400000	2380000	2380000	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	53	0	350000	350000	350000	15000	1350000	0	0
232	25	43	3400000	3400000	3400000	3400000	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	53	0	350000	350000	350000	15000	1350000	0	0
233	25	44	3400000	3400000	3400000	3400000	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	53	0	350000	350000	350000	15000	1350000	0	0
234	25	46	3400000	3400000	3400000	3400000	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	38	0	350000	350000	350000	15000	1350000	0	0
235	25	47	3400000	3400000	3400000	3400000	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	38	0	350000	350000	350000	15000	1350000	0	0
236	25	48	3400000	3400000	3400000	3400000	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	38	0	350000	350000	350000	15000	1350000	0	0
237	25	49	3400000	3400000	3400000	3400000	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	53	0	350000	350000	350000	15000	1350000	0	0
238	25	50	3400000	3400000	3400000	3400000	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	53	0	350000	350000	350000	15000	1350000	0	0
239	25	51	3400000	3400000	3400000	3400000	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	53	0	350000	350000	350000	15000	1350000	0	0
240	25	54	3400000	3400000	3400000	3400000	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	53	0	350000	350000	350000	15000	1350000	0	0
241	25	55	3400000	3400000	3400000	3400000	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	53	0	350000	350000	350000	15000	1350000	0	0
242	25	56	3400000	3400000	3400000	3400000	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	53	0	350000	350000	350000	15000	1350000	0	0
243	25	57	3400000	3400000	3400000	3400000	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	38	0	350000	350000	350000	15000	1350000	0	0
244	25	58	3400000	3400000	3400000	3400000	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	38	0	350000	350000	350000	15000	1350000	0	0
245	25	59	3400000	3400000	3400000	3400000	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	38	0	350000	350000	350000	15000	1350000	0	0
246	25	62	3400000	3400000	3400000	3400000	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	53	0	350000	350000	350000	15000	1350000	0	0
247	25	63	3400000	3400000	3400000	3400000	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	53	0	350000	350000	350000	15000	1350000	0	0
248	25	64	3400000	3400000	3400000	3400000	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	53	0	350000	350000	350000	15000	1350000	0	0
249	25	67	3400000	3400000	3400000	3400000	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	53	0	350000	350000	350000	15000	1350000	0	0
250	25	68	3400000	3400000	3400000	3400000	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	53	0	350000	350000	350000	15000	1350000	0	0
251	25	69	3400000	3400000	3400000	3400000	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	53	0	350000	350000	350000	15000	1350000	0	0
252	25	72	3400000	3400000	3400000	3400000	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	38	0	350000	350000	350000	15000	1350000	0	0
253	25	73	3400000	3400000	3400000	3400000	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	38	0	350000	350000	350000	15000	1350000	0	0
254	25	74	3400000	3400000	3400000	3400000	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	38	0	350000	350000	350000	15000	1350000	0	0
255	25	76	3400000	3400000	3400000	3400000	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	53	0	350000	350000	350000	15000	1350000	0	0
256	25	77	3400000	3400000	3400000	3400000	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	38	0	350000	350000	350000	15000	1350000	0	0
257	25	78	3400000	3400000	3400000	3400000	159000	246000	10000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	38	0	350000	350000	350000	15000	1350000	0	0
258	25	79	3400000	3400000	3400000	3400000	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	38	0	350000	350000	350000	15000	1350000	0	0
259	25	80	3400000	3400000	3400000	3400000	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	53	0	350000	350000	350000	15000	1350000	0	0
260	25	81	3400000	3400000	3400000	3400000	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	53	0	350000	350000	350000	15000	1350000	0	0
261	25	82	3400000	3400000	3400000	3400000	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	53	0	350000	350000	350000	15000	1350000	0	0
262	25	83	3400000	3400000	3400000	3400000	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	53	0	350000	350000	350000	15000	1350000	0	0
263	25	84	3400000	3400000	3400000	3400000	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	53	0	350000	350000	350000	15000	1350000	0	0
264	25	85	3400000	3400000	3400000	3400000	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	53	0	350000	350000	350000	15000	1350000	0	0
265	25	86	3400000	3400000	3400000	3400000	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	53	0	350000	350000	350000	15000	1350000	0	0
266	25	87	3400000	3400000	3400000	3400000	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	53	0	350000	350000	350000	15000	1350000	0	0
267	25	88	3400000	3400000	3400000	3400000	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	53	0	350000	350000	350000	15000	1350000	0	0
268	25	89	3400000	3400000	3400000	3400000	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	53	0	350000	350000	350000	15000	1350000	0	0
269	25	90	3400000	3400000	3400000	3400000	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	53	0	350000	350000	350000	15000	1350000	0	0
270	25	91	3400000	3400000	3400000	3400000	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	53	0	350000	350000	350000	15000	1350000	0	0
271	25	92	3400000	3400000	3400000	3400000	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	53	0	350000	350000	350000	15000	1350000	0	0
272	25	93	3400000	3400000	3400000	3400000	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	53	0	350000	350000	350000	15000	1350000	0	0
273	25	94	3400000	3400000	3400000	3400000	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	53	0	350000	350000	350000	15000	1350000	0	0
274	25	95	3400000	3400000	3400000	3400000	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	53	0	350000	350000	350000	15000	1350000	0	0
275	25	96	3400000	3400000	3400000	3400000	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	53	0	350000	350000	350000	15000	1350000	0	0
276	25	97	3400000	3400000	3400000	3400000	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	53	0	350000	350000	350000	15000	1350000	0	0
277	25	98	3400000	3400000	3400000	3400000	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	53	0	350000	350000	350000	15000	1350000	0	0
278	25	99	3400000	3400000	3400000	3400000	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	53	0	350000	350000	350000	15000	1350000	0	0
279	25	201	3400000	3400000	3400000	3400000	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	53	0	350000	350000	350000	15000	1350000	0	0
280	25	100	3400000	3400000	3400000	3400000	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	53	0	350000	350000	350000	15000	1350000	0	0
282	25	102	3400000	3400000	3400000	3400000	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	53	0	350000	350000	350000	15000	1350000	0	0
283	25	103	3400000	3400000	3400000	3400000	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	53	0	350000	350000	350000	15000	1350000	0	0
286	23	201	6875000	6875000	6875000	6875000	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	0	0	300000	300000	300000	10000	1350000	0	0
287	23	100	6875000	6875000	6875000	6875000	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	0	0	300000	300000	300000	10000	1350000	0	0
289	23	102	6875000	6875000	6875000	6875000	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	0	0	300000	300000	300000	10000	1350000	0	0
290	23	103	6875000	6875000	6875000	6875000	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	0	0	300000	300000	300000	10000	1350000	0	0
293	24	201	88400000	88400000	88400000	88400000	306000	306000	16000000	250000	100	150000	150000	1041000	3000000	100000	50000	0	511	17400	0	0	300000	300000	300000	10000	2250000	0	0
294	24	100	88400000	88400000	88400000	88400000	306000	306000	16000000	250000	100	150000	150000	1041000	3000000	100000	50000	0	511	17400	0	0	300000	300000	300000	10000	2250000	0	0
296	24	102	88400000	88400000	88400000	88400000	306000	306000	16000000	250000	100	150000	150000	1041000	3000000	100000	50000	0	511	17400	0	0	300000	300000	300000	10000	2250000	0	0
297	24	103	88400000	88400000	88400000	88400000	306000	306000	16000000	250000	100	150000	150000	1041000	3000000	100000	50000	0	511	17400	0	0	300000	300000	300000	10000	2250000	0	0
