ROWID	GamemodeID|INTEGER	GameModeUIString|INTEGER	DefaultGameWinType|INTEGER	WinCondition_1|INTEGER	WinCondition_2|INTEGER	WinCondition_3|INTEGER	WinCondition_4|INTEGER	WinCondition_5|INTEGER	WinCondition_UIString|INTEGER	PlayTime_1|INTEGER	PlayTime_2|INTEGER	PlayTime_3|INTEGER	PlayTime_4|INTEGER	PlayTime_5|INTEGER	Respawn_Time|INTEGER	Respawn_Nodamage_Time|INTEGER	Respawn_HP_Percent|INTEGER	Respawn_MP_Percent|INTEGER	NumOfPlayers_Min|INTEGER	NumOfPlayers_Max|INTEGER	WinXP_PerRound|INTEGER	LoseXP_PerRound|INTEGER	HowtoWinString|INTEGER	KOItemDropTableID|INTEGER	StartRegulation|BOOLEAN	PlayerBalance|BOOLEAN	ReleaseShow|BOOLEAN	VictoryExp_1|INTEGER	VictoryExp_2|INTEGER	VictoryExp_3|INTEGER	VictoryExp_4|INTEGER	VictoryExp_5|INTEGER	VictoryBonusRate_1|INTEGER	VictoryBonusRate_2|INTEGER	VictoryBonusRate_3|INTEGER	VictoryBonusRate_4|INTEGER	VictoryBonusRate_5|INTEGER	DefeatExp_1|INTEGER	DefeatExp_2|INTEGER	DefeatExp_3|INTEGER	DefeatExp_4|INTEGER	DefeatExp_5|INTEGER	DefeatBonusRate_1|INTEGER	DefeatBonusRate_2|INTEGER	DefeatBonusRate_3|INTEGER	DefeatBonusRate_4|INTEGER	DefeatBonusRate_5|INTEGER	MedalExp|INTEGER	LadderType|INTEGER	_FatigueConTime|INTEGER	_FatigueConValue|INTEGER	_FatigueConExp|INTEGER	_FatigueConMedal|INTEGER	_ItemID|INTEGER	_NeedInven|INTEGER	_SkillSetting|INTEGER	_SelectableRevision|BOOLEAN	_DefaultRevision|BOOLEAN	_BattleGroundID|INTEGER	_UserCreate|INTEGER	_ModeDefaultRewardItem|INTEGER	_ModeDefaultRewardValue|INTEGER	_RankRewardItem1|INTEGER	_RankRewardValue1|INTEGER	_RankRewardItem2|INTEGER	_RankRewardValue2|INTEGER	_RankRewardItem3|INTEGER	_RankRewardValue3|INTEGER	_RankRewardItem4|INTEGER	_RankRewardValue4|INTEGER	_RankRewardItem5|INTEGER	_RankRewardValue5|INTEGER	_RankRewardItem6|INTEGER	_RankRewardValue6|INTEGER	_RankRewardItem7|INTEGER	_RankRewardValue7|INTEGER	_RankRewardItem8|INTEGER	_RankRewardValue8|INTEGER	_TooltipUIString|INTEGER	_ModeImage|TEXT	_SponsorUI|BOOLEAN
69	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	1	100	0	0	0	0	false	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		true
70	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	1	100	0	0	0	0	false	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		true
71	1	126040	1	1	0	0	0	0	120310	300	0	0	0	0	0	0	100	100	1	1	0	0	0	201001	true	true	true	100	100	100	100	100	30	30	30	30	30	50	50	50	50	50	20	20	20	20	20	100	1	0	0	0	0	0	0	0	false	false	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Colo_AllKill.dds	false
72	1	126040	1	1	0	0	0	0	120310	300	0	0	0	0	0	0	100	100	2	2	0	0	0	201001	true	true	true	200	200	200	200	200	30	30	30	30	30	100	100	100	100	100	20	20	20	20	20	100	2	0	0	0	0	0	0	0	false	false	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Colo_AllKill.dds	false
73	1	126040	1	1	0	0	0	0	120310	300	0	0	0	0	0	0	100	100	3	3	0	0	0	201001	true	true	true	300	300	300	300	300	30	30	30	30	30	150	150	150	150	150	20	20	20	20	20	100	3	0	0	0	0	0	0	0	false	false	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Colo_AllKill.dds	false
74	1	126040	1	1	0	0	0	0	120310	300	0	0	0	0	0	0	100	100	4	4	0	0	0	201001	true	true	true	400	400	400	400	400	30	30	30	30	30	200	200	200	200	200	20	20	20	20	20	100	4	0	0	0	0	0	0	0	false	false	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Colo_AllKill.dds	false
75	1	126040	1	1	0	0	0	0	120310	300	0	0	0	0	0	0	100	100	1	1	0	0	0	201001	true	true	true	100	100	100	100	100	30	30	30	30	30	50	50	50	50	50	20	20	20	20	20	100	5	0	0	0	0	0	0	0	false	false	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Colo_AllKill.dds	false
76	1	126040	1	1	0	0	0	0	120310	300	0	0	0	0	0	0	100	100	1	1	0	0	0	201001	true	true	true	100	100	100	100	100	30	30	30	30	30	50	50	50	50	50	20	20	20	20	20	100	6	0	0	0	0	0	0	0	false	false	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Colo_AllKill.dds	false
77	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	1	100	0	0	0	0	false	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		true
78	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	1	100	0	0	0	0	false	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		true
79	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	1	100	0	0	0	0	false	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		true
80	13	120099	150	150	0	0	0	0	120310	240	240	240	240	0	10	3	100	100	1	100	200	50	120124	201001	true	true	false	100	200	300	400	800	15	15	15	15	15	50	100	150	200	400	10	10	10	10	10	0	0	2	10	5	1	0	0	0	false	false	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7922	Colo_GuildWar.dds	false
81	13	120089	200	200	0	0	0	0	120310	330	330	330	330	0	10	3	100	100	1	10	200	50	120124	201001	true	true	true	100	200	300	400	800	15	15	15	15	15	50	100	150	200	400	10	10	10	10	10	100	0	2	10	5	1	268494501	0	0	false	true	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7922	Colo_GuildWar.dds	false
82	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	1	100	0	0	0	0	false	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		true
83	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	1	100	0	0	0	0	false	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		true
84	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	1	100	0	0	0	0	false	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		true
85	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	1	100	0	0	0	0	false	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		true
86	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	1	100	0	0	0	0	false	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		true
87	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	1	100	0	0	0	0	false	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		true
88	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	1	100	0	0	0	0	false	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		true
89	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	1	100	0	0	0	0	false	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		true
90	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	1	100	0	0	0	0	false	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		true
91	15	1000023358	1	1	0	0	0	0	120310	193	193	193	193	0	0	0	100	100	4	8	100	100	120201	0	false	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	2	10	5	1	268494501	0	0	false	false	0	1	374341682	1	374341682	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7925	Colo_Racing.dds	false
92	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	1	100	0	0	0	0	false	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		true
93	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	1	100	0	0	0	0	false	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		true
94	16	120178	1	4	8	16	32	0	120187	180	180	180	180	0	10	0	100	100	4	4	100	50	120177	0	true	true	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	2	10	5	1	268494501	0	0	false	true	0	1	0	0	268494501	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7936	Colo_Tournament.dds	false
95	16	120179	1	4	8	16	32	0	120187	180	180	180	180	0	10	0	100	100	8	8	150	50	120177	0	true	true	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	2	10	5	1	268494501	0	0	false	true	0	1	0	0	268494501	2	268494501	1	0	0	0	0	0	0	0	0	0	0	0	0	7936	Colo_Tournament.dds	false
96	16	120180	1	4	8	16	32	0	120187	180	180	180	180	0	10	0	100	100	16	16	200	50	120177	0	true	true	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	2	10	5	1	268494501	0	0	false	true	0	1	0	0	268494501	3	268494501	2	268494501	1	0	0	0	0	0	0	0	0	0	0	7936	Colo_Tournament.dds	false
97	16	120181	1	4	8	16	32	0	120187	180	180	180	180	0	10	0	100	100	32	32	300	50	120177	0	false	false	false	400	800	1200	1600	3200	30	30	30	30	30	200	400	600	800	1600	20	20	20	20	20	100	0	2	10	5	1	268494501	0	0	false	true	0	0	0	0	374341682	8	374341682	4	374341682	3	0	0	0	0	0	0	0	0	0	0	7936	Colo_Tournament.dds	false
98	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	1	100	0	0	0	0	false	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		true
99	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	1	100	0	0	0	0	false	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		true
100	17	123000	0	1	0	0	0	0	93	0	0	0	0	0	0	0	100	100	1	8	0	0	93	0	true	true	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	false	true	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7950	Colo_Combo.dds	false
101	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	1	100	0	0	0	0	false	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		true
102	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	1	100	0	0	0	0	false	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		true
103	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	1	100	0	0	0	0	false	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		true
104	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	1	100	0	0	0	0	false	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		true
105	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	1	100	0	0	0	0	false	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		true
106	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	1	100	0	0	0	0	false	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		true
107	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	1	100	0	0	0	0	false	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		true
108	14	121123	1	1	0	0	0	0	121128	300	300	300	300	0	10	0	100	100	1	100	100	50	120200	0	true	true	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	0	0	0	0	0	0	0	false	true	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7923	Colo_AllKill.dds	false
109	14	121123	1	1	0	0	0	0	121128	300	300	300	300	0	10	0	100	100	1	100	100	50	120200	0	true	true	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	101	0	0	0	0	0	0	0	false	true	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7923	Colo_AllKill.dds	false
110	16	8407	1	4	8	16	0	0	120187	180	180	180	180	0	10	0	100	100	4	4	100	50	120177	0	true	true	false	100	200	300	400	800	30	30	30	30	30	50	100	150	200	400	20	20	20	20	20	100	0	2	10	5	1	268494501	0	0	false	true	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7936	Colo_Tournament.dds	false
111	16	8408	1	4	8	16	0	0	120187	180	180	180	180	0	10	0	100	100	8	8	150	50	120177	0	true	true	false	200	400	600	800	1200	30	30	30	30	30	100	200	300	400	600	20	20	20	20	20	100	0	2	10	5	1	268494501	0	0	false	true	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7936	Colo_Tournament.dds	false
112	16	8409	1	4	8	16	0	0	120187	180	180	180	180	0	10	0	100	100	16	16	200	50	120177	0	true	true	false	100	100	100	100	100	20	20	20	20	20	50	50	50	50	50	13	13	13	13	13	100	0	2	10	5	1	268494501	0	0	false	true	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7936	Colo_Tournament.dds	false
113	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	1	100	0	0	0	0	false	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		true
114	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	1	100	0	0	0	0	false	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		true
115	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	1	100	0	0	0	0	false	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		true
116	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	1	100	0	0	0	0	false	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		true
117	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	1	100	0	0	0	0	false	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		true
118	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	1	100	0	0	0	0	false	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		true
119	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	1	100	0	0	0	0	false	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		true
120	22	1016863	30000	30000	0	0	0	0	1016861	1200	0	0	0	0	20	3	100	100	12	12	0	0	0	0	true	true	false	100	100	100	100	100	20	20	20	20	20	50	50	50	50	50	13	13	13	13	13	0	120	2	10	5	1	0	0	0	false	true	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1016865	Colo_Rumble.dds	false
121	24	120316	1	1	0	0	0	0	120318	300	0	0	0	0	5	0	100	100	1	100	75	0	120319	0	true	true	true	100	200	400	0	0	25	25	25	0	0	100	200	400	0	0	25	25	25	0	0	100	0	2	10	5	1	268494501	2	1	false	true	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120317	Colo_Ghoul_champion.dds	false
122	23	9673	30000	30000	0	0	0	0	120187	1200	0	0	0	0	10	0	100	100	12	12	0	0	0	0	true	true	false	100	100	100	100	100	20	20	20	20	20	50	50	50	50	50	13	13	13	13	13	0	0	2	10	5	1	0	0	0	false	false	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7936	Colo_Rumble.dds	false
123	25	120331	0	0	0	0	0	0	0	600	600	600	600	0	10	3	100	100	1	6	0	0	0	0	true	true	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	true	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		false
124	27	1000002706	2	1	0	0	0	0	120310	1920	1920	1920	1920	0	5	3	100	100	4	32	500	150	120201	201001	true	true	true	400	800	1200	1600	3200	30	30	30	30	30	200	400	600	800	1600	15	15	15	15	15	100	0	0	0	0	0	268494501	0	0	false	true	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7937	Colo_GuildWar.dds	false
125	22	1016863	30000	30000	0	0	0	0	1016861	1200	0	0	0	0	20	3	100	100	12	12	0	0	0	0	true	true	false	100	100	100	100	100	20	20	20	20	20	50	50	50	50	50	13	13	13	13	13	0	0	2	10	5	1	0	0	0	false	true	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1016865	Colo_Rumble.dds	false
202	0	120025	2	8	16	24	32	0	120310	300	600	900	1200	0	10	3	100	100	1	100	350	100	120201	201001	true	true	false	200	800	600	800	1600	20	20	20	20	20	100	200	300	400	800	10	10	10	10	10	100	0	2	10	5	1	268494501	0	0	false	true	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7919	Colo_Respawn.dds	true
211	1	120024	2	3	5	7	0	0	120308	180	180	180	180	0	10	0	100	100	1	100	150	50	120200	201001	true	true	false	700	400	600	800	1600	20	20	20	20	20	150	200	300	400	800	10	10	10	10	10	100	0	2	10	5	1	268494501	0	0	false	true	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7920	Colo_Round.dds	true
221	2	121074	2	3	5	7	0	0	120308	180	180	180	180	0	20	0	100	100	8	16	150	50	120200	201001	true	true	false	700	1200	1600	2400	3600	20	20	20	20	20	150	600	800	1200	1800	10	10	10	10	10	100	0	2	10	5	1	268494501	0	0	false	true	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7921	Colo_Captain.dds	false
241	3	120056	2	4	8	16	24	0	120310	300	600	900	1200	0	10	0	100	100	1	100	350	100	120201	201001	true	true	false	100	950	400	600	800	20	20	20	20	20	150	250	300	450	600	10	10	10	10	10	100	0	2	10	5	1	268494501	0	0	false	true	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7918	Colo_Solo.dds	false
