ROWID	_PhysicalAttackMinRevision|INTEGER	_PhysicalAttackMaxRevision|INTEGER	_MagicAttackMinRevision|INTEGER	_MagicAttackMaxRevision|INTEGER	_PhysicalDefenseRevision|INTEGER	_MagicDefenseRevision|INTEGER	_MaxHPRevision|INTEGER	_MaxSPRevision|INTEGER	_RecoverySPRevision|INTEGER	_StiffRevision|INTEGER	_StiffResistanceRevision|INTEGER	_CriticalRevision|INTEGER	_CriticalResistanceRevision|INTEGER	_StunRevision|INTEGER	_StunResistanceRevision|INTEGER	_SuperAmmorRevision|INTEGER	_MoveSpeedRevision|INTEGER	_FinalDamageRevision|INTEGER	_ElementAttackRevision|INTEGER	_ElementDefenseRevision|INTEGER	_StrengthRevision|INTEGER	_AgilityRevision|INTEGER	_IntelligenceRevision|INTEGER	_StaminaRevision|INTEGER	_CriticalDamageRevision|INTEGER	_PVPAttackPowerRevision|INTEGER	_PVPDefencePowerRevision|INTEGER
684	6833	8772	5103	6833	47651	42906	46410	60130	754	7989	7989	13585	27972	6658	3868	100	300	3678	1	1	2987	1527	1870	1870	13585	1	1
685	7358	9445	5494	7356	51299	46191	49950	64750	812	8607	8607	14626	30114	7172	4162	100	300	3793	1	1	3219	1645	2015	2015	14626	1	1
686	7921	10168	5914	7919	55224	49726	53790	69720	874	9267	9267	15747	32424	7722	4482	100	300	3908	1	1	3467	1773	2172	2172	15747	1	1
687	8524	10942	6364	8522	59426	53509	57900	75040	941	9972	9972	16948	34902	8310	4825	100	300	4022	1	1	3733	1910	2339	2339	16948	1	1
688	9166	11767	6844	9164	63904	57541	62280	80710	1012	10725	10725	18227	37538	8938	5190	100	300	4137	1	1	4016	2056	2517	2517	18227	1	1
689	9841	12633	7348	9838	68603	61772	66870	86660	1086	11517	11517	19568	40299	9598	5572	100	300	4252	1	1	4313	2209	2704	2704	19568	1	1
690	10563	13559	7887	10560	73634	66302	71790	93030	1166	12360	12360	21008	43270	10300	5982	100	300	4367	1	1	4632	2373	2904	2904	21008	1	1
691	11349	14568	8473	11345	79107	71231	77130	99960	1252	13284	13284	22569	46484	11070	6428	100	300	4522	1	1	4979	2551	3122	3122	22569	1	1
692	12198	15658	9107	12194	85022	76557	82890	107450	1346	14280	14280	24260	49970	11900	6908	100	300	4678	1	1	5354	2743	3357	3357	24260	1	1
693	13118	16839	9794	13113	91435	82332	89160	115570	1447	15357	15357	26093	53750	12798	7430	100	300	4833	1	1	5759	2952	3613	3613	26093	1	1
694	14110	18112	10534	14105	98345	88554	95910	124320	1557	16521	16521	28066	57813	13768	7992	100	300	4989	1	1	6197	3177	3888	3888	28066	1	1
695	15173	19477	11328	15167	105753	95225	103140	133700	1674	17766	17766	30184	62181	14805	8595	100	300	5144	1	1	6666	3418	4182	4182	30184	1	1
696	16308	20933	12175	16301	113658	102343	110880	143710	1799	19095	19095	32442	66832	15912	9240	100	300	5300	1	1	7166	3676	4497	4497	32442	1	1
697	17514	22481	13075	17507	122061	109910	119070	154350	1932	20511	20511	34842	71778	17092	9922	100	300	5455	1	1	7699	3949	4831	4831	34842	1	1
698	18792	24121	14029	18783	130962	117925	127770	165620	2073	22008	22008	37384	77018	18340	10648	100	300	5611	1	1	8261	4239	5186	5186	37384	1	1
699	20149	25862	15042	20140	140415	126437	137010	177590	2222	23598	23598	40084	82582	19665	11418	100	300	5766	1	1	8860	4547	5562	5562	40084	1	1
700	21569	27685	16102	21559	150311	135348	146670	190120	2379	25263	25263	42912	88410	21052	12222	100	300	5922	1	1	9487	4869	5956	5956	42912	1	1
701	33	42	21	27	262	233	420	350	4	82	57	47	74	66	35	100	300	75	1	1	19	7	10	14	47	1	1
702	39	49	24	32	303	270	480	385	5	95	66	57	94	77	40	100	300	87	1	1	22	9	11	16	57	1	1
703	44	55	27	36	345	307	540	455	6	108	75	64	105	87	45	100	300	99	1	1	25	10	13	18	64	1	1
704	49	62	30	40	387	344	630	490	6	121	84	72	116	98	52	100	300	111	1	1	28	11	14	21	72	1	1
705	55	69	34	45	429	382	690	560	7	134	93	79	126	108	58	100	300	123	1	1	31	12	16	23	79	1	1
706	60	76	37	49	471	419	750	595	8	150	105	86	136	121	62	100	300	135	1	1	35	13	17	25	86	1	1
707	65	82	40	53	512	456	810	665	9	160	111	96	158	129	68	100	300	147	1	1	37	15	19	27	96	1	1
708	71	89	43	58	555	493	900	700	9	173	120	103	168	139	75	100	300	159	1	1	40	16	20	30	103	1	1
709	76	95	47	62	596	531	960	770	10	186	129	110	178	150	80	100	300	171	1	1	43	17	22	32	110	1	1
710	82	102	50	66	638	567	1020	805	11	202	141	117	189	163	85	100	300	183	1	1	47	18	23	34	117	1	1
711	87	109	53	71	680	605	1080	875	11	214	150	125	200	173	90	100	300	195	1	1	50	19	25	36	125	1	1
712	92	115	57	75	722	642	1170	910	12	224	156	135	220	181	98	100	300	207	1	1	52	21	26	39	135	1	1
713	97	122	60	79	764	679	1230	980	13	237	165	142	231	192	102	100	300	219	1	1	55	22	28	41	142	1	1
714	103	129	63	84	805	716	1290	1015	13	253	177	149	242	205	108	100	300	231	1	1	59	23	29	43	149	1	1
715	120	152	76	101	989	880	1350	1085	17	280	186	169	252	226	112	100	300	285	1	1	62	24	31	45	169	1	1
716	126	160	80	106	1041	926	1440	1155	18	294	195	180	273	237	120	100	300	300	1	1	65	26	33	48	180	1	1
717	133	168	84	112	1094	973	1530	1225	18	311	207	188	284	251	128	100	300	315	1	1	69	27	35	51	188	1	1
718	140	177	88	117	1146	1019	1620	1260	19	328	219	200	304	264	135	100	300	330	1	1	73	29	36	54	200	1	1
719	146	185	92	122	1198	1065	1710	1330	20	345	231	208	315	278	142	100	300	345	1	1	77	30	38	57	208	1	1
720	153	194	96	128	1250	1112	1770	1400	21	362	243	219	336	292	148	100	300	360	1	1	81	32	40	59	219	1	1
721	160	202	100	133	1303	1158	1860	1470	22	379	255	227	346	305	155	100	300	375	1	1	85	33	42	62	227	1	1
722	166	210	104	139	1355	1205	1950	1540	23	393	264	238	368	317	162	100	300	390	1	1	88	35	44	65	238	1	1
723	173	218	108	144	1407	1252	2040	1610	24	410	276	246	378	330	170	100	300	405	1	1	92	36	46	68	246	1	1
724	179	226	112	149	1460	1298	2130	1680	24	424	285	258	399	342	178	100	300	420	1	1	95	38	48	71	258	1	1
725	189	239	119	158	1538	1368	2250	1785	26	449	303	272	420	362	188	100	300	442	1	1	101	40	51	75	272	1	1
726	199	252	125	166	1616	1438	2370	1890	27	475	321	285	441	383	198	100	300	465	1	1	107	42	54	79	285	1	1
727	209	264	130	173	1695	1507	2490	1960	28	500	339	302	472	403	208	100	300	487	1	1	113	45	56	83	302	1	1
728	219	277	137	182	1773	1577	2610	2065	30	525	357	316	494	424	218	100	300	510	1	1	119	47	59	87	316	1	1
729	229	289	143	190	1852	1647	2760	2170	31	548	372	330	514	442	230	100	300	532	1	1	124	49	62	92	330	1	1
730	239	302	149	198	1930	1716	2880	2275	32	573	390	343	536	462	240	100	300	555	1	1	130	51	65	96	343	1	1
731	249	314	155	206	2008	1786	3000	2380	34	596	405	361	567	480	250	100	300	577	1	1	135	54	68	100	361	1	1
732	259	326	161	214	2087	1856	3120	2485	35	621	423	374	588	501	260	100	300	600	1	1	141	56	71	104	374	1	1
733	272	343	169	225	2191	1948	3300	2590	37	655	447	394	620	528	275	100	300	630	1	1	149	59	74	110	394	1	1
734	286	360	177	235	2296	2042	3450	2730	38	689	471	413	651	556	288	100	300	660	1	1	157	62	78	115	413	1	1
735	298	376	186	246	2400	2135	3630	2870	40	720	492	432	682	581	302	100	300	690	1	1	164	65	82	121	432	1	1
736	311	393	194	257	2505	2228	3810	3010	42	751	513	452	714	606	318	100	300	720	1	1	171	68	86	127	452	1	1
737	325	409	202	268	2609	2321	3960	3150	44	784	537	471	746	633	330	100	300	750	1	1	179	71	90	132	471	1	1
738	338	426	210	278	2714	2413	4140	3255	46	818	561	491	777	660	345	100	300	780	1	1	187	74	93	138	491	1	1
739	352	443	218	289	2818	2506	4290	3395	47	852	585	510	808	688	358	100	300	810	1	1	195	77	97	143	510	1	1
740	365	459	226	300	2923	2600	4470	3535	49	883	606	529	840	713	372	100	300	850	1	1	202	80	101	149	529	1	1
741	390	491	242	320	3117	2772	4800	3815	52	946	651	567	903	764	400	100	300	894	1	1	215	84	107	158	567	1	1
742	415	522	257	340	3308	2942	5130	4060	56	1012	699	604	966	818	428	100	300	938	1	1	229	88	112	167	604	1	1
743	440	553	272	360	3500	3112	5490	4340	60	1072	741	641	1029	866	458	100	300	982	1	1	241	92	118	177	641	1	1
744	463	582	285	378	3668	3262	5820	4585	63	1136	789	676	1092	918	485	100	300	1026	1	1	255	96	123	186	676	1	1
745	491	616	302	400	3878	3449	6180	4900	67	1207	840	719	1166	975	515	100	300	1070	1	1	270	101	130	196	719	1	1
746	518	650	319	422	4085	3634	6570	5215	71	1277	891	757	1228	1032	548	100	300	1114	1	1	285	105	137	207	757	1	1
747	546	684	335	443	4293	3818	6960	5495	75	1348	942	799	1302	1089	580	100	300	1158	1	1	300	110	143	218	799	1	1
748	573	718	351	465	4495	3998	7320	5810	79	1418	993	841	1376	1146	610	100	300	1202	1	1	315	115	150	228	841	1	1
749	603	756	369	488	4721	4198	7740	6125	83	1499	1053	885	1449	1212	645	100	300	1246	1	1	333	120	157	240	885	1	1
750	635	795	389	514	4969	4420	8160	6475	88	1577	1107	934	1533	1275	680	100	300	1290	1	1	349	126	165	252	934	1	1
751	689	866	425	563	5483	4877	8580	6790	92	1686	1167	1003	1606	1362	715	100	300	1336	1	1	369	133	174	266	1003	1	1
752	733	923	455	603	5884	5233	9000	7140	96	1778	1221	1065	1690	1436	750	100	300	1382	1	1	387	141	184	280	1065	1	1
753	784	990	489	649	6354	5651	9480	7490	101	1886	1284	1134	1774	1522	790	100	300	1428	1	1	408	149	194	296	1134	1	1
754	837	1058	524	697	6841	6084	9930	7875	106	1996	1347	1204	1858	1609	828	100	300	1474	1	1	429	157	205	311	1204	1	1
755	891	1129	560	746	7343	6531	10380	8225	111	2107	1410	1279	1953	1698	865	100	300	1520	1	1	450	166	215	326	1279	1	1
756	947	1201	597	796	7864	6993	10860	8575	116	2220	1473	1352	2037	1788	905	100	300	1566	1	1	471	174	225	342	1352	1	1
757	1010	1284	640	855	8466	7529	11370	8995	121	2344	1539	1435	2132	1886	948	100	300	1612	1	1	493	183	237	359	1435	1	1
758	1078	1374	687	918	9126	8115	11850	9380	126	2480	1611	1524	2226	1994	988	100	300	1658	1	1	517	192	248	375	1524	1	1
759	1141	1457	730	977	9733	8656	12360	9800	131	2604	1677	1608	2320	2093	1030	100	300	1704	1	1	539	201	260	392	1608	1	1
760	1187	1516	760	1016	10122	9002	12870	10185	136	2710	1746	1673	2415	2178	1072	100	300	1750	1	1	562	210	271	409	1673	1	1
761	1241	1584	794	1062	10577	9405	13470	10640	143	2834	1827	1747	2520	2278	1122	100	300	1812	1	1	589	220	284	429	1747	1	1
762	1310	1672	838	1120	11161	9925	14220	11235	150	2992	1929	1846	2667	2405	1185	100	300	1874	1	1	623	234	301	454	1846	1	1
763	1394	1780	891	1192	11875	10560	15150	11970	160	3186	2055	1963	2835	2561	1262	100	300	1937	1	1	665	250	322	485	1963	1	1
764	1494	1906	955	1277	12719	11311	16230	12845	172	3413	2202	2105	3045	2743	1352	100	300	1999	1	1	714	270	347	521	2105	1	1
765	1608	2053	1028	1375	13693	12177	17490	13860	185	3677	2373	2266	3276	2955	1458	100	300	2062	1	1	771	292	376	563	2266	1	1
766	1738	2218	1111	1486	14797	13158	18930	14980	200	3974	2565	2451	3549	3194	1578	100	300	2124	1	1	835	318	408	611	2451	1	1
767	1884	2404	1204	1610	16030	14255	20520	16240	216	4310	2784	2655	3843	3465	1710	100	300	2186	1	1	908	346	444	664	2655	1	1
768	2049	2614	1309	1751	17427	15498	22320	17675	235	4686	3027	2890	4190	3767	1860	100	300	2249	1	1	989	379	485	724	2890	1	1
769	2233	2849	1426	1907	18985	16883	24330	19250	256	5111	3303	3149	4568	4108	2028	100	300	2311	1	1	1081	415	530	791	3149	1	1
770	2436	3107	1556	2081	20703	18412	26550	21035	279	5577	3606	3433	4977	4483	2212	100	300	2374	1	1	1182	454	581	865	3433	1	1
771	2646	3376	1690	2260	22490	20000	28860	22855	303	6059	3918	3733	5418	4871	2405	100	300	2458	1	1	1286	496	633	942	3733	1	1
772	2865	3654	1829	2446	24339	21644	31260	24745	328	6562	4245	4039	5859	5276	2605	100	300	2543	1	1	1395	538	687	1022	4039	1	1
773	3087	3937	1971	2635	26221	23319	33690	26670	354	7072	4575	4354	6321	5685	2808	100	300	2627	1	1	1505	582	742	1103	4354	1	1
774	3320	4235	2120	2835	28203	25080	36270	28700	380	7605	4920	4685	6804	6114	3022	100	300	2712	1	1	1620	628	800	1189	4685	1	1
775	3569	4552	2279	3047	30311	26956	39000	30870	409	8178	5292	5033	7308	6574	3250	100	300	2797	1	1	1744	676	862	1280	5033	1	1
776	3829	4884	2445	3269	32519	28919	41850	33145	438	8775	5679	5401	7844	7054	3488	100	300	2881	1	1	1873	727	927	1375	5401	1	1
777	4101	5231	2618	3501	34824	30969	44820	35490	469	9399	6084	5787	8410	7557	3735	100	300	2966	1	1	2008	781	994	1474	5787	1	1
778	4384	5592	2799	3742	37226	33105	47940	37940	502	10051	6507	6186	8988	8081	3995	100	300	3050	1	1	2149	836	1064	1578	6186	1	1
779	4679	5968	2986	3993	39724	35326	51180	40495	536	10727	6945	6603	9597	8624	4265	100	300	3135	1	1	2295	894	1137	1686	6603	1	1
780	4985	6358	3182	4254	42321	37635	54540	43155	570	11430	7401	7035	10227	9189	4545	100	300	3220	1	1	2447	954	1213	1798	7035	1	1
781	5330	6798	3402	4548	45242	40234	58320	46165	610	12221	7914	7520	10930	9825	4860	100	300	3334	1	1	2618	1021	1299	1924	7520	1	1
782	5712	7286	3646	4875	48488	43120	62520	49490	654	13100	8484	8061	11718	10532	5210	100	300	3449	1	1	2808	1096	1394	2064	8061	1	1
783	6134	7823	3914	5234	52059	46295	67140	53130	702	14067	9111	8657	12590	11310	5595	100	300	3564	1	1	3017	1179	1498	2218	8657	1	1
784	6593	8409	4207	5626	55954	49759	72180	57120	754	15122	9795	9306	13534	12158	6015	100	300	3678	1	1	3245	1269	1612	2386	9306	1	1
785	7098	9052	4530	6057	60238	53570	77730	61530	812	16280	10545	10019	14574	13088	6478	100	300	3793	1	1	3495	1368	1738	2571	10019	1	1
786	7642	9746	4877	6520	64847	57668	83670	66255	874	17531	11358	10785	15687	14095	6972	100	300	3908	1	1	3766	1474	1873	2769	10785	1	1
787	8224	10488	5248	7016	69780	62056	90060	71295	941	18868	12225	11607	16884	15170	7505	100	300	4022	1	1	4055	1588	2017	2982	11607	1	1
788	8844	11279	5644	7545	75039	66732	96870	76685	1012	20290	13146	12484	18165	16313	8072	100	300	4137	1	1	4362	1710	2171	3209	12484	1	1
789	9495	12108	6059	8100	80557	71639	104010	82355	1086	21784	14115	13401	19498	17514	8668	100	300	4252	1	1	4685	1837	2333	3447	13401	1	1
790	10192	12997	6503	8694	86464	76892	111660	88375	1166	23384	15153	14387	20937	18801	9305	100	300	4367	1	1	5031	1974	2505	3702	14387	1	1
791	10950	13963	6987	9341	92891	82608	119970	94990	1252	25124	16281	15456	22491	20200	9998	100	300	4522	1	1	5407	2122	2694	3979	15456	1	1
792	11769	15008	7509	10039	99837	88785	128970	102095	1346	27003	17499	16614	24182	21711	10748	100	300	4678	1	1	5813	2283	2897	4279	16614	1	1
793	12657	16141	8076	10797	107367	95481	138690	109795	1447	29046	18825	17868	26008	23353	11558	100	300	4833	1	1	6255	2457	3117	4603	17868	1	1
794	13614	17361	8686	11613	115482	102698	149190	118125	1557	31243	20250	19218	27972	25120	12432	100	300	4989	1	1	6730	2644	3355	4953	19218	1	1
795	14640	18669	9341	12488	124181	110433	160470	127015	1674	33598	21777	20667	30082	27014	13372	100	300	5144	1	1	7239	2845	3609	5329	20667	1	1
796	15735	20065	10039	13421	133464	118689	172470	136535	1799	36111	23406	22215	32340	29034	14372	100	300	5300	1	1	7782	3060	3881	5729	22215	1	1
797	16899	21549	10782	14414	143331	127464	185250	146650	1932	38781	25137	23858	34734	31181	15438	100	300	5455	1	1	8359	3288	4170	6155	23858	1	1
798	18132	23121	11568	15465	153782	136759	198750	157360	2073	41615	26976	25597	37264	33460	16562	100	300	5611	1	1	8972	3529	4476	6605	25597	1	1
799	19441	24790	12403	16582	164883	146631	213120	168735	2222	44619	28923	27447	39963	35875	17760	100	300	5766	1	1	9621	3786	4801	7084	27447	1	1
800	20812	26538	13277	17750	176503	156964	228150	180635	2379	47768	30966	29381	42777	38407	19012	100	300	5922	1	1	10302	4054	5141	7585	29381	1	1
801	32	41	37	23	262	231	450	245	4	50	30	85	189	39	38	100	300	75	1	1	10	18	7	15	85	1	1
802	37	47	42	27	304	268	510	315	5	59	36	96	210	46	42	100	300	87	1	2	12	20	9	17	96	1	1
803	42	53	48	31	346	305	600	350	6	68	42	106	231	53	50	100	300	99	1	3	14	22	10	20	106	1	1
804	47	60	54	35	388	342	660	385	6	77	48	121	262	61	55	100	300	111	1	4	16	25	11	22	121	1	1
805	52	66	59	38	430	379	750	420	7	84	51	135	294	65	62	100	300	123	1	5	17	28	12	25	135	1	1
806	58	73	65	42	472	415	810	455	8	93	57	149	326	73	68	100	300	135	1	6	19	31	13	27	149	1	1
807	63	79	71	46	514	453	870	525	9	102	63	159	346	80	72	100	300	147	1	7	21	33	15	29	159	1	1
808	68	86	77	50	556	490	960	560	9	108	66	173	378	85	80	100	300	159	1	8	22	36	16	32	173	1	1
809	73	92	83	53	598	527	1020	595	10	117	72	187	410	92	85	100	300	171	1	9	24	39	17	34	187	1	1
810	78	98	88	57	640	563	1110	630	11	126	78	198	430	99	92	100	300	183	1	10	26	41	18	37	198	1	1
811	83	105	94	61	682	600	1170	665	11	133	81	216	472	104	98	100	300	195	1	11	27	45	19	39	216	1	1
812	88	112	100	65	723	638	1230	735	12	142	87	226	494	111	102	100	300	207	1	12	29	47	21	41	226	1	1
813	93	118	105	68	766	675	1320	770	13	151	93	237	514	118	110	100	300	219	1	13	31	49	22	44	237	1	1
814	98	125	112	72	807	711	1380	805	13	157	96	254	556	123	115	100	300	231	1	14	32	53	23	46	254	1	1
815	115	147	131	87	991	874	1470	840	17	177	102	277	578	138	122	100	300	285	1	15	34	55	24	49	277	1	1
816	121	155	138	92	1044	921	1560	910	18	187	108	292	609	146	130	100	300	300	1	16	36	58	26	52	292	1	1
817	128	163	145	96	1096	967	1650	945	18	197	114	311	651	154	138	100	300	315	1	17	38	62	27	55	311	1	1
818	134	171	152	101	1148	1013	1740	1015	19	207	120	326	682	161	145	100	300	330	1	18	40	65	29	58	326	1	1
819	140	179	160	105	1201	1059	1830	1050	20	217	126	344	724	169	152	100	300	345	1	19	42	69	30	61	344	1	1
820	146	187	167	110	1253	1105	1920	1120	21	230	135	356	746	179	160	100	300	360	1	20	45	71	32	64	356	1	1
821	153	195	174	115	1306	1151	2010	1155	22	240	141	374	788	187	168	100	300	375	1	21	47	75	33	67	374	1	1
822	159	203	181	120	1358	1198	2100	1225	23	250	147	389	819	195	175	100	300	390	1	22	49	78	35	70	389	1	1
823	166	211	188	124	1410	1244	2190	1260	24	260	153	407	861	203	182	100	300	405	1	23	51	82	36	73	407	1	1
824	172	219	195	129	1463	1290	2280	1330	24	270	159	422	892	211	190	100	300	420	1	24	53	85	38	76	422	1	1
825	182	232	207	136	1541	1359	2400	1400	26	285	168	450	956	222	200	100	300	442	1	25	56	91	40	80	450	1	1
826	191	244	217	143	1620	1428	2550	1470	27	300	177	474	1008	234	212	100	300	465	1	26	59	96	42	85	474	1	1
827	200	256	228	150	1698	1498	2670	1575	28	315	186	498	1060	246	222	100	300	487	1	27	62	101	45	89	498	1	1
828	210	267	238	157	1777	1567	2820	1645	30	333	198	519	1102	260	235	100	300	510	1	28	66	105	47	94	519	1	1
829	220	280	250	164	1855	1636	2940	1715	31	348	207	547	1166	271	245	100	300	532	1	29	69	111	49	98	547	1	1
830	229	292	260	170	1934	1705	3090	1785	32	363	216	571	1218	283	258	100	300	555	1	30	72	116	51	103	571	1	1
831	238	304	271	178	2013	1775	3210	1890	34	377	225	595	1270	295	268	100	300	577	1	31	75	121	54	107	595	1	1
832	248	315	282	185	2091	1844	3360	1960	35	392	234	619	1323	306	280	100	300	600	1	32	78	126	56	112	619	1	1
833	261	332	296	194	2196	1936	3540	2065	37	412	246	653	1396	322	295	100	300	630	1	33	82	133	59	118	653	1	1
834	273	347	310	203	2301	2029	3720	2170	38	435	261	682	1460	340	310	100	300	660	1	34	87	139	62	124	682	1	1
835	286	363	325	213	2406	2121	3900	2275	40	455	273	716	1533	356	325	100	300	690	1	35	91	146	65	130	716	1	1
836	298	380	339	222	2511	2213	4080	2380	42	475	285	749	1606	371	340	100	300	720	1	36	95	153	68	136	749	1	1
837	311	396	353	231	2615	2306	4260	2485	44	495	297	783	1680	387	355	100	300	750	1	37	99	160	71	142	783	1	1
838	324	412	368	240	2720	2398	4440	2590	46	515	309	816	1754	402	370	100	300	780	1	38	103	167	74	148	816	1	1
839	336	428	382	250	2825	2490	4620	2695	47	538	324	846	1816	420	385	100	300	810	1	39	108	173	77	154	846	1	1
840	349	444	396	259	2930	2583	4800	2800	49	558	336	879	1890	436	400	100	300	850	1	40	112	180	80	160	879	1	1
841	373	474	424	276	3124	2754	5160	3010	52	596	360	945	2037	466	430	100	300	894	1	41	120	194	86	172	945	1	1
842	397	504	450	294	3316	2923	5520	3220	56	638	387	1007	2174	499	460	100	300	938	1	42	129	207	92	184	1007	1	1
843	421	534	477	311	3508	3092	5880	3430	60	676	411	1072	2320	529	490	100	300	982	1	43	137	221	98	196	1072	1	1
844	443	561	502	326	3677	3240	6240	3640	63	713	435	1135	2468	558	520	100	300	1026	1	44	145	235	104	208	1135	1	1
845	469	595	532	345	3887	3426	6630	3885	67	759	465	1205	2625	594	552	100	300	1070	1	45	155	250	111	221	1205	1	1
846	496	628	562	364	4095	3608	7050	4095	71	801	492	1279	2793	627	588	100	300	1114	1	46	164	266	117	235	1279	1	1
847	522	661	591	382	4302	3791	7440	4340	75	847	522	1349	2950	663	620	100	300	1158	1	47	174	281	124	248	1349	1	1
848	548	693	620	401	4506	3970	7860	4585	79	889	549	1418	3108	697	655	100	300	1202	1	48	183	296	131	262	1418	1	1
849	576	729	653	421	4732	4169	8310	4830	83	939	582	1497	3286	736	692	100	300	1246	1	49	194	313	138	277	1497	1	1
850	607	767	687	444	4981	4389	8760	5110	88	988	612	1578	3465	774	730	100	300	1290	1	50	204	330	146	292	1578	1	1
851	659	836	748	486	5496	4844	9210	5355	92	1060	645	1682	3644	829	768	100	300	1336	1	51	215	347	153	307	1682	1	1
852	702	892	797	520	5897	5199	9660	5635	96	1121	675	1776	3822	876	805	100	300	1382	1	52	225	364	161	322	1776	1	1
853	752	958	855	560	6367	5615	10140	5915	101	1193	711	1883	4022	931	845	100	300	1428	1	53	237	383	169	338	1883	1	1
854	803	1025	914	601	6855	6046	10650	6195	106	1263	744	1991	4221	985	888	100	300	1474	1	54	248	402	177	355	1991	1	1
855	855	1093	974	643	7358	6492	11130	6510	111	1338	780	2098	4410	1042	928	100	300	1520	1	55	260	420	186	371	2098	1	1
856	909	1164	1037	687	7879	6952	11640	6790	116	1411	813	2209	4610	1098	970	100	300	1566	1	56	271	439	194	388	2209	1	1
857	971	1245	1108	737	8482	7485	12180	7105	121	1496	852	2331	4820	1163	1015	100	300	1612	1	57	284	459	203	406	2331	1	1
858	1037	1333	1185	791	9143	8071	12720	7420	126	1586	891	2458	5030	1231	1060	100	300	1658	1	58	297	479	212	424	2458	1	1
859	1099	1415	1257	842	9751	8608	13260	7735	131	1669	927	2584	5250	1294	1105	100	300	1704	1	59	309	500	221	442	2584	1	1
860	1143	1472	1307	876	10141	8953	13800	8050	136	1737	966	2688	5460	1347	1150	100	300	1750	1	60	322	520	230	460	2688	1	1
861	1195	1538	1367	915	10596	9354	14430	8400	143	1814	1008	2814	5722	1407	1202	100	300	1812	1	61	336	545	240	481	2814	1	1
862	1261	1623	1442	966	11181	9871	15240	8890	150	1915	1065	2969	6038	1485	1270	100	300	1874	1	62	355	575	254	508	2969	1	1
863	1342	1728	1535	1027	11897	10502	16230	9450	160	2039	1134	3163	6436	1581	1352	100	300	1937	1	63	378	613	270	541	3163	1	1
864	1438	1851	1644	1101	12742	11249	17400	10150	172	2187	1218	3386	6888	1696	1450	100	300	1999	1	64	406	656	290	580	3386	1	1
865	1549	1993	1771	1185	13718	12110	18750	10920	185	2354	1311	3652	7434	1826	1562	100	300	2062	1	65	437	708	312	625	3652	1	1
866	1674	2154	1914	1281	14824	13086	20280	11830	200	2546	1419	3946	8032	1975	1690	100	300	2124	1	66	473	765	338	676	3946	1	1
867	1814	2334	2074	1387	16059	14177	21990	12810	216	2760	1539	4279	8715	2141	1832	100	300	2186	1	67	513	830	366	733	4279	1	1
868	1972	2538	2255	1509	17458	15413	23910	13965	235	3001	1674	4654	9482	2328	1992	100	300	2249	1	68	558	903	399	797	4654	1	1
869	2149	2765	2457	1644	19019	16791	26070	15225	256	3270	1824	5074	10342	2537	2172	100	300	2311	1	69	608	985	435	869	5074	1	1
870	2344	3016	2680	1792	20742	18310	28470	16590	279	3569	1992	5537	11288	2769	2372	100	300	2374	1	70	664	1075	474	949	5537	1	1
871	2504	3217	2861	1908	22029	19444	30840	17990	302	3834	2160	5961	12232	2977	2570	100	300	2458	1	71	720	1165	514	1028	5961	1	1
872	2658	3410	3034	2018	23248	20517	33240	19390	326	4090	2325	6379	13178	3179	2770	100	300	2543	1	72	775	1255	554	1108	6379	1	1
873	2807	3596	3202	2123	24401	21532	35610	20790	349	4345	2493	6791	14122	3380	2968	100	300	2627	1	73	831	1345	594	1187	6791	1	1
874	2951	3774	3362	2223	25486	22485	38010	22155	372	4594	2661	7197	15068	3577	3168	100	300	2712	1	74	887	1435	633	1267	7197	1	1
875	3113	3975	3544	2336	26711	23562	40710	23730	398	4875	2850	7657	16138	3798	3392	100	300	2797	1	75	950	1537	678	1357	7657	1	1
876	3268	4167	3718	2442	27858	24569	43410	25305	424	5149	3039	8110	17210	4016	3618	100	300	2881	1	76	1013	1639	723	1447	8110	1	1
877	3418	4351	3884	2543	28931	25511	46110	26880	451	5418	3228	8557	18280	4230	3842	100	300	2966	1	77	1076	1741	768	1537	8557	1	1
878	3617	4605	4111	2692	30616	26997	48810	28455	477	5734	3417	9057	19352	4477	4068	100	300	3050	1	78	1139	1843	813	1627	9057	1	1
879	3817	4858	4338	2840	32302	28484	51510	30030	503	6051	3606	9558	20422	4724	4292	100	300	3135	1	79	1202	1945	858	1717	9558	1	1
880	3954	5024	4489	2929	33221	29288	54210	31605	529	6307	3795	9991	21494	4929	4518	100	300	3220	1	80	1265	2047	903	1807	9991	1	1
881	4150	5274	4712	3074	34869	30741	56910	33180	556	6621	3984	10488	22564	5174	4742	100	300	3334	1	81	1328	2149	948	1897	10488	1	1
882	4347	5523	4935	3220	36516	32193	59610	34755	582	6935	4173	10985	23636	5419	4968	100	300	3449	1	82	1391	2251	993	1987	10985	1	1
883	4543	5773	5158	3365	38164	33646	62310	36330	608	7248	4362	11482	24706	5664	5192	100	300	3564	1	83	1454	2353	1038	2077	11482	1	1
884	4740	6022	5381	3511	39811	35098	65010	37905	634	7562	4551	11980	25778	5909	5418	100	300	3678	1	84	1517	2455	1083	2167	11980	1	1
885	4969	6313	5641	3680	41733	36793	68160	39760	665	7926	4770	12560	27027	6194	5680	100	300	3793	1	85	1590	2574	1136	2272	12560	1	1
